country,carrier,value,year,unit
XY,Solar,3834402.75,2025,TWh
XY,Wind,228035.0,2025,TWh
YZ,Solar,2081673.4210526266,2025,TWh
YZ,Wind,4485830.0,2025,TWh
XY,Bio,139688888.8888307,2025,TWh
XY,Gas,4000000.000000001,2025,TWh
XY,Gas-imp,45696877.537765846,2025,TWh
XY,Hrdc,111172862.69849378,2025,TWh
XY,Lig,60342857.14283201,2025,TWh
XY,Oil,14000000.000000002,2025,TWh
XY,Uranium,29213333.333351195,2025,TWh
XY,Waste,1237500.0,2025,TWh
YZ,Bio,80044633.56968205,2025,TWh
YZ,Gas,3999999.999999999,2025,TWh
YZ,Hrdc,175508450.0000353,2025,TWh
YZ,Lig,44666666.666688,2025,TWh
YZ,Oil,14000000.000000019,2025,TWh
