country,carrier,region,heat_type,year,value,unit
XY,Bio,CE,IND-HH,2025,2.0,GW
XY,Bio,CE,IND-LH,2025,3.7,GW
XY,Bio,SO,IND-HH,2025,0.35,GW
XY,Bio,SO,IND-LH,2025,2.1,GW
XY,Electricity,CE,IND-HH,2025,0.65,GW
XY,Electricity,CE,IND-LH,2025,0.53,GW
XY,Electricity,NR,IND-HH,2025,0.05,GW
XY,Electricity,NR,IND-LH,2025,0.26,GW
XY,Electricity,SO,IND-HH,2025,0.04,GW
XY,Electricity,SO,IND-LH,2025,0.32,GW
XY,Gas,CE,IND-HH,2025,3.3,GW
XY,Gas,CE,IND-LH,2025,1.5,GW
XY,Gas,NR,IND-HH,2025,0.44,GW
XY,Gas,NR,IND-LH,2025,1.5,GW
XY,Gas,SO,IND-LH,2025,2.0,GW
XY,Hrdc,CE,IND-HH,2025,4.2,GW
XY,Hrdc,NR,IND-HH,2025,0.37,GW
XY,Hrdc,SO,IND-HH,2025,0.39,GW
XY,Hrdc,SO,IND-LH,2025,1.9,GW
XY,Oil,CE,IND-HH,2025,2.4,GW
XY,Oil,CE,IND-LH,2025,2.4,GW
XY,Oil,NR,IND-HH,2025,0.2,GW
XY,Oil,NR,IND-LH,2025,0.46,GW
XY,Oil,SO,IND-HH,2025,0.16,GW
XY,Oil,SO,IND-LH,2025,0.68,GW
YZ,Bio,CE,IND-HH,2025,2.0,GW
YZ,Bio,CE,IND-LH,2025,3.7,GW
YZ,Bio,SO,IND-HH,2025,0.35,GW
YZ,Bio,SO,IND-LH,2025,2.1,GW
YZ,Electricity,CE,IND-HH,2025,1.3,GW
YZ,Electricity,CE,IND-LH,2025,0.53,GW
YZ,Electricity,NR,IND-HH,2025,0.1,GW
YZ,Electricity,NR,IND-LH,2025,0.52,GW
YZ,Electricity,SO,IND-HH,2025,0.08,GW
YZ,Electricity,SO,IND-LH,2025,0.32,GW
YZ,Gas,CE,IND-HH,2025,3.3,GW
YZ,Gas,CE,IND-LH,2025,2.0,GW
YZ,Gas,NR,IND-HH,2025,0.44,GW
YZ,Gas,NR,IND-LH,2025,1.5,GW
YZ,Gas,SO,IND-LH,2025,2.0,GW
YZ,Hrdc,CE,IND-HH,2025,4.2,GW
YZ,Hrdc,NR,IND-HH,2025,0.37,GW
YZ,Hrdc,SO,IND-HH,2025,0.39,GW
YZ,Hrdc,SO,IND-LH,2025,1.9,GW
YZ,Oil,CE,IND-HH,2025,2.4,GW
YZ,Oil,CE,IND-LH,2025,2.4,GW
YZ,Oil,NR,IND-HH,2025,0.2,GW
YZ,Oil,NR,IND-LH,2025,0.46,GW
YZ,Oil,SO,IND-HH,2025,0.16,GW
YZ,Oil,SO,IND-LH,2025,0.68,GW
