country,carrier,region,heat_type,year,value,unit
XY,Bio,CE,IND-HH,2025,17.6,TWh
XY,Bio,CE,IND-LH,2025,32.56,TWh
XY,Bio,SO,IND-HH,2025,3.08,TWh
XY,Bio,SO,IND-LH,2025,18.48,TWh
XY,Electricity,CE,IND-HH,2025,5.09,TWh
XY,Electricity,CE,IND-LH,2025,0.04,TWh
XY,Electricity,NR,IND-HH,2025,0.44,TWh
XY,Gas,CE,IND-HH,2025,7.68,TWh
XY,Gas,CE,IND-LH,2025,13.14,TWh
XY,Gas,NR,IND-HH,2025,2.13,TWh
XY,Gas,NR,IND-LH,2025,11.42,TWh
XY,Hrdc,CE,IND-HH,2025,36.87,TWh
XY,Hrdc,NR,IND-HH,2025,3.26,TWh
XY,Hrdc,SO,IND-HH,2025,1.54,TWh
XY,Hrdc,SO,IND-LH,2025,9.84,TWh
XY,Oil,CE,IND-HH,2025,0.06,TWh
XY,Oil,CE,IND-LH,2025,12.51,TWh
XY,Oil,NR,IND-LH,2025,0.03,TWh
YZ,Bio,CE,IND-HH,2025,17.6,TWh
YZ,Bio,CE,IND-LH,2025,32.56,TWh
YZ,Bio,SO,IND-HH,2025,3.08,TWh
YZ,Bio,SO,IND-LH,2025,18.48,TWh
YZ,Electricity,CE,IND-HH,2025,5.09,TWh
YZ,Electricity,NR,IND-HH,2025,0.44,TWh
YZ,Gas,CE,IND-HH,2025,0.75,TWh
YZ,Gas,CE,IND-LH,2025,1.2,TWh
YZ,Gas,NR,IND-HH,2025,0.56,TWh
YZ,Gas,NR,IND-LH,2025,1.1,TWh
YZ,Hrdc,CE,IND-HH,2025,36.87,TWh
YZ,Hrdc,NR,IND-HH,2025,3.26,TWh
YZ,Hrdc,SO,IND-HH,2025,1.54,TWh
YZ,Hrdc,SO,IND-LH,2025,9.84,TWh
YZ,Oil,CE,IND-HH,2025,2.94,TWh
YZ,Oil,CE,IND-LH,2025,7.26,TWh
YZ,Oil,NR,IND-HH,2025,0.59,TWh
YZ,Oil,NR,IND-LH,2025,1.81,TWh
