snapshot,country,technology,value,unit
2025-01-01 00:00:00,XY,EIDT,700.0,MW
2025-01-02 01:00:00,XY,EIDT,700.0,MW
2025-01-03 02:00:00,XY,EIDT,700.0,MW
2025-01-04 03:00:00,XY,EIDT,700.0,MW
2025-01-05 04:00:00,XY,EIDT,700.0,MW
2025-01-06 05:00:00,XY,EIDT,700.0,MW
2025-01-07 06:00:00,XY,EIDT,700.0,MW
2025-01-08 07:00:00,XY,EIDT,700.0,MW
2025-01-09 08:00:00,XY,EIDT,700.0,MW
2025-01-10 09:00:00,XY,EIDT,700.0,MW
2025-01-11 10:00:00,XY,EIDT,700.0,MW
2025-01-12 11:00:00,XY,EIDT,700.0,MW
2025-01-13 12:00:00,XY,EIDT,700.0,MW
2025-01-14 13:00:00,XY,EIDT,700.0,MW
2025-01-15 14:00:00,XY,EIDT,700.0,MW
2025-01-16 15:00:00,XY,EIDT,700.0,MW
2025-01-17 16:00:00,XY,EIDT,700.0,MW
2025-01-18 17:00:00,XY,EIDT,700.0,MW
2025-01-19 18:00:00,XY,EIDT,700.0,MW
2025-01-20 19:00:00,XY,EIDT,700.0,MW
2025-01-21 20:00:00,XY,EIDT,700.0,MW
2025-01-22 21:00:00,XY,EIDT,700.0,MW
2025-01-23 22:00:00,XY,EIDT,700.0,MW
2025-01-24 23:00:00,XY,EIDT,700.0,MW
2025-01-26 00:00:00,XY,EIDT,700.0,MW
2025-01-27 01:00:00,XY,EIDT,416.0,MW
2025-01-28 02:00:00,XY,EIDT,483.0,MW
2025-01-29 03:00:00,XY,EIDT,617.0,MW
2025-01-30 04:00:00,XY,EIDT,700.0,MW
2025-01-31 05:00:00,XY,EIDT,700.0,MW
2025-02-01 06:00:00,XY,EIDT,700.0,MW
2025-02-02 07:00:00,XY,EIDT,700.0,MW
2025-02-03 08:00:00,XY,EIDT,700.0,MW
2025-02-04 09:00:00,XY,EIDT,700.0,MW
2025-02-05 10:00:00,XY,EIDT,700.0,MW
2025-02-06 11:00:00,XY,EIDT,700.0,MW
2025-02-07 12:00:00,XY,EIDT,700.0,MW
2025-02-08 13:00:00,XY,EIDT,740.0,MW
2025-02-09 14:00:00,XY,EIDT,700.0,MW
2025-02-10 15:00:00,XY,EIDT,700.0,MW
2025-02-11 16:00:00,XY,EIDT,700.0,MW
2025-02-12 17:00:00,XY,EIDT,700.0,MW
2025-02-13 18:00:00,XY,EIDT,700.0,MW
2025-02-14 19:00:00,XY,EIDT,700.0,MW
2025-02-15 20:00:00,XY,EIDT,700.0,MW
2025-02-16 21:00:00,XY,EIDT,700.0,MW
2025-02-17 22:00:00,XY,EIDT,700.0,MW
2025-02-18 23:00:00,XY,EIDT,700.0,MW
2025-02-20 00:00:00,XY,EIDT,700.0,MW
2025-02-21 01:00:00,XY,EIDT,700.0,MW
2025-02-22 02:00:00,XY,EIDT,282.0,MW
2025-02-23 03:00:00,XY,EIDT,50.0,MW
2025-02-24 04:00:00,XY,EIDT,81.0,MW
2025-02-25 05:00:00,XY,EIDT,700.0,MW
2025-02-26 06:00:00,XY,EIDT,700.0,MW
2025-02-27 07:00:00,XY,EIDT,700.0,MW
2025-02-28 08:00:00,XY,EIDT,700.0,MW
2025-03-01 09:00:00,XY,EIDT,700.0,MW
2025-03-02 10:00:00,XY,EIDT,700.0,MW
2025-03-03 11:00:00,XY,EIDT,700.0,MW
2025-03-04 12:00:00,XY,EIDT,700.0,MW
2025-03-05 13:00:00,XY,EIDT,700.0,MW
2025-03-06 14:00:00,XY,EIDT,700.0,MW
2025-03-07 15:00:00,XY,EIDT,700.0,MW
2025-03-08 16:00:00,XY,EIDT,700.0,MW
2025-03-09 17:00:00,XY,EIDT,700.0,MW
2025-03-10 18:00:00,XY,EIDT,700.0,MW
2025-03-11 19:00:00,XY,EIDT,700.0,MW
2025-03-12 20:00:00,XY,EIDT,700.0,MW
2025-03-13 21:00:00,XY,EIDT,700.0,MW
2025-03-14 22:00:00,XY,EIDT,700.0,MW
2025-03-15 23:00:00,XY,EIDT,700.0,MW
2025-03-17 00:00:00,XY,EIDT,700.0,MW
2025-03-18 01:00:00,XY,EIDT,684.0,MW
2025-03-19 02:00:00,XY,EIDT,617.0,MW
2025-03-20 03:00:00,XY,EIDT,617.0,MW
2025-03-21 04:00:00,XY,EIDT,416.0,MW
2025-03-22 05:00:00,XY,EIDT,148.0,MW
2025-03-23 06:00:00,XY,EIDT,684.0,MW
2025-03-24 07:00:00,XY,EIDT,700.0,MW
2025-03-25 08:00:00,XY,EIDT,700.0,MW
2025-03-26 09:00:00,XY,EIDT,700.0,MW
2025-03-27 10:00:00,XY,EIDT,700.0,MW
2025-03-28 11:00:00,XY,EIDT,700.0,MW
2025-03-29 12:00:00,XY,EIDT,700.0,MW
2025-03-30 13:00:00,XY,EIDT,700.0,MW
2025-03-31 14:00:00,XY,EIDT,700.0,MW
2025-04-01 15:00:00,XY,EIDT,700.0,MW
2025-04-02 16:00:00,XY,EIDT,700.0,MW
2025-04-03 17:00:00,XY,EIDT,700.0,MW
2025-04-04 18:00:00,XY,EIDT,700.0,MW
2025-04-05 19:00:00,XY,EIDT,700.0,MW
2025-04-06 20:00:00,XY,EIDT,700.0,MW
2025-04-07 21:00:00,XY,EIDT,700.0,MW
2025-04-08 22:00:00,XY,EIDT,700.0,MW
2025-04-09 23:00:00,XY,EIDT,700.0,MW
2025-04-11 00:00:00,XY,EIDT,700.0,MW
2025-04-12 01:00:00,XY,EIDT,416.0,MW
2025-04-13 02:00:00,XY,EIDT,50.0,MW
2025-04-14 03:00:00,XY,EIDT,50.0,MW
2025-04-15 04:00:00,XY,EIDT,282.0,MW
2025-04-16 05:00:00,XY,EIDT,700.0,MW
2025-04-17 06:00:00,XY,EIDT,700.0,MW
2025-04-18 07:00:00,XY,EIDT,700.0,MW
2025-04-19 08:00:00,XY,EIDT,700.0,MW
2025-04-20 09:00:00,XY,EIDT,700.0,MW
2025-04-21 10:00:00,XY,EIDT,700.0,MW
2025-04-22 11:00:00,XY,EIDT,700.0,MW
2025-04-23 12:00:00,XY,EIDT,700.0,MW
2025-04-24 13:00:00,XY,EIDT,700.0,MW
2025-04-25 14:00:00,XY,EIDT,700.0,MW
2025-04-26 15:00:00,XY,EIDT,700.0,MW
2025-04-27 16:00:00,XY,EIDT,700.0,MW
2025-04-28 17:00:00,XY,EIDT,700.0,MW
2025-04-29 18:00:00,XY,EIDT,700.0,MW
2025-04-30 19:00:00,XY,EIDT,700.0,MW
2025-05-01 20:00:00,XY,EIDT,700.0,MW
2025-05-02 21:00:00,XY,EIDT,700.0,MW
2025-05-03 22:00:00,XY,EIDT,700.0,MW
2025-05-04 23:00:00,XY,EIDT,700.0,MW
2025-05-06 00:00:00,XY,EIDT,700.0,MW
2025-05-07 01:00:00,XY,EIDT,700.0,MW
2025-05-08 02:00:00,XY,EIDT,684.0,MW
2025-05-09 03:00:00,XY,EIDT,215.0,MW
2025-05-10 04:00:00,XY,EIDT,50.0,MW
2025-05-11 05:00:00,XY,EIDT,148.0,MW
2025-05-12 06:00:00,XY,EIDT,700.0,MW
2025-05-13 07:00:00,XY,EIDT,700.0,MW
2025-05-14 08:00:00,XY,EIDT,700.0,MW
2025-05-15 09:00:00,XY,EIDT,700.0,MW
2025-05-16 10:00:00,XY,EIDT,700.0,MW
2025-05-17 11:00:00,XY,EIDT,700.0,MW
2025-05-18 12:00:00,XY,EIDT,700.0,MW
2025-05-19 13:00:00,XY,EIDT,700.0,MW
2025-05-20 14:00:00,XY,EIDT,700.0,MW
2025-05-21 15:00:00,XY,EIDT,700.0,MW
2025-05-22 16:00:00,XY,EIDT,700.0,MW
2025-05-23 17:00:00,XY,EIDT,700.0,MW
2025-05-24 18:00:00,XY,EIDT,700.0,MW
2025-05-25 19:00:00,XY,EIDT,700.0,MW
2025-05-26 20:00:00,XY,EIDT,700.0,MW
2025-05-27 21:00:00,XY,EIDT,700.0,MW
2025-05-28 22:00:00,XY,EIDT,700.0,MW
2025-05-29 23:00:00,XY,EIDT,700.0,MW
2025-05-31 00:00:00,XY,EIDT,700.0,MW
2025-06-01 01:00:00,XY,EIDT,81.0,MW
2025-06-02 02:00:00,XY,EIDT,50.0,MW
2025-06-03 03:00:00,XY,EIDT,81.0,MW
2025-06-04 04:00:00,XY,EIDT,483.0,MW
2025-06-05 05:00:00,XY,EIDT,700.0,MW
2025-06-06 06:00:00,XY,EIDT,700.0,MW
2025-06-07 07:00:00,XY,EIDT,700.0,MW
2025-06-08 08:00:00,XY,EIDT,700.0,MW
2025-06-09 09:00:00,XY,EIDT,700.0,MW
2025-06-10 10:00:00,XY,EIDT,700.0,MW
2025-06-11 11:00:00,XY,EIDT,700.0,MW
2025-06-12 12:00:00,XY,EIDT,700.0,MW
2025-06-13 13:00:00,XY,EIDT,700.0,MW
2025-06-14 14:00:00,XY,EIDT,700.0,MW
2025-06-15 15:00:00,XY,EIDT,700.0,MW
2025-06-16 16:00:00,XY,EIDT,700.0,MW
2025-06-17 17:00:00,XY,EIDT,700.0,MW
2025-06-18 18:00:00,XY,EIDT,700.0,MW
2025-06-19 19:00:00,XY,EIDT,700.0,MW
2025-06-20 20:00:00,XY,EIDT,700.0,MW
2025-06-21 21:00:00,XY,EIDT,700.0,MW
2025-06-22 22:00:00,XY,EIDT,700.0,MW
2025-06-23 23:00:00,XY,EIDT,700.0,MW
2025-06-25 00:00:00,XY,EIDT,700.0,MW
2025-06-26 01:00:00,XY,EIDT,700.0,MW
2025-06-27 02:00:00,XY,EIDT,700.0,MW
2025-06-28 03:00:00,XY,EIDT,282.0,MW
2025-06-29 04:00:00,XY,EIDT,50.0,MW
2025-06-30 05:00:00,XY,EIDT,50.0,MW
2025-07-01 06:00:00,XY,EIDT,483.0,MW
2025-07-02 07:00:00,XY,EIDT,700.0,MW
2025-07-03 08:00:00,XY,EIDT,700.0,MW
2025-07-04 09:00:00,XY,EIDT,700.0,MW
2025-07-05 10:00:00,XY,EIDT,700.0,MW
