country,technology,carrier,year,value,unit
XY,BIOT,Bio,2030,265.58,Million usd
YZ,BIOT,Bio,2030,5.23,Million usd
XY,CCGT,Gas,2030,1211.83,Million usd
YZ,CCGT,Gas,2030,575.08,Million usd
XY,EDLH,Electricity,2030,104.84,Million usd
YZ,EDLH,Electricity,2030,170.96,Million usd
YZ,EERH,Electricity,2030,227.65,Million usd
XY,EHPP,Electricity,2030,23.68,Million usd
YZ,EHPP,Electricity,2030,216.73,Million usd
XY,EIDT,Electricity,2030,204.68,Million usd
YZ,EIDT,Electricity,2030,148.71,Million usd
XY,EVCH-PRV,Electricity,2030,0.05,Million usd
YZ,EVCH-PRV,Electricity,2030,0.07,Million usd
XY,EVCH-PUB,Electricity,2030,0.03,Million usd
YZ,EVCH-PUB,Electricity,2030,0.05,Million usd
XY,HDAM,Water,2030,287.58,Million usd
YZ,HROR,Water,2030,1817.48,Million usd
XY,IND_BOILER,Bio,2030,127.22,Million usd
YZ,IND_BOILER,Bio,2030,197.53,Million usd
XY,IND_BOILER,Gas,2030,154.53,Million usd
YZ,IND_BOILER,Gas,2030,223.95,Million usd
XY,IND_BOILER,Hrdc,2030,107.08,Million usd
YZ,IND_BOILER,Hrdc,2030,166.27,Million usd
XY,IND_BOILER,Oil,2030,49.17,Million usd
YZ,IND_BOILER,Oil,2030,152.69,Million usd
XY,ITCN,Electricity,2030,17.16,Million usd
YZ,ITCN,Electricity,2030,17.21,Million usd
XY,NUCL,Uranium,2030,754.85,Million usd
YZ,OCGT,Gas,2030,435.38,Million usd
XY,OILT,Oil,2030,17.88,Million usd
YZ,OILT,Oil,2030,17.75,Million usd
XY,PHOT,Solar,2030,401.93,Million usd
YZ,PHOT,Solar,2030,307.29,Million usd
XY,RTPV,Solar,2030,27.98,Million usd
YZ,RTPV,Solar,2030,47.58,Million usd
XY,SubC,Hrdc,2030,254.35,Million usd
YZ,SubC,Hrdc,2030,760.38,Million usd
XY,SubC,Lig,2030,179.54,Million usd
YZ,SubC,Lig,2030,297.02,Million usd
YZ,SupC,Hrdc,2030,1002.45,Million usd
XY,WSTT,Waste,2030,7.92,Million usd
XY,WTON,Wind,2030,313.46,Million usd
YZ,WTON,Wind,2030,2446.91,Million usd
