country,region,technology,year,value,unit
XY,CE,BIOT,2030,0.94,GW
XY,CE,CCGT,2030,20.9,GW
XY,CE,NUCL,2030,1.5,GW
XY,CE,SubC,2030,3.4,GW
XY,CE,WSTT,2030,0.02,GW
XY,NR,BIOT,2030,0.61,GW
XY,NR,NUCL,2030,0.06,GW
XY,NR,SubC,2030,2.4,GW
XY,NR,WSTT,2030,0.02,GW
XY,SO,BIOT,2030,0.63,GW
XY,SO,CCGT,2030,1.7,GW
XY,SO,OILT,2030,0.31,GW
XY,SO,WSTT,2030,0.02,GW
YZ,CE,CCGT,2030,3.2,GW
YZ,CE,OCGT,2030,1.0,GW
YZ,CE,SubC,2030,1.0,GW
YZ,CE,SupC,2030,1.3,GW
YZ,NR,BIOT,2030,0.01,GW
YZ,NR,CCGT,2030,3.0,GW
YZ,NR,OCGT,2030,4.5,GW
YZ,NR,OILT,2030,0.4,GW
YZ,NR,SubC,2030,6.0,GW
YZ,NR,SupC,2030,4.0,GW
YZ,SO,CCGT,2030,2.5,GW
YZ,SO,OCGT,2030,2.1,GW
YZ,SO,SubC,2030,1.9,GW
YZ,SO,SupC,2030,1.0,GW
XY,CE,PHOT,2030,4.65,GW
XY,CE,RTPV,2030,0.03,GW
XY,NR,PHOT,2030,0.52,GW
XY,NR,RTPV,2030,0.32,GW
XY,NR,WTON,2030,0.06,GW
XY,SO,PHOT,2030,3.81,GW
XY,SO,RTPV,2030,0.04,GW
XY,SO,WTON,2030,3.69,GW
YZ,CE,RTPV,2030,0.03,GW
YZ,CE,WTON,2030,11.16,GW
YZ,NR,HROR,2030,8.5,GW
YZ,NR,PHOT,2030,0.4,GW
YZ,NR,RTPV,2030,0.32,GW
YZ,NR,WTON,2030,3.09,GW
YZ,SO,PHOT,2030,4.45,GW
YZ,SO,RTPV,2030,0.04,GW
YZ,SO,WTON,2030,3.92,GW
XY,CE,HDAM,2030,1.0,GW
XY,NR,HDAM,2030,1.2,GW
XY,SO,HDAM,2030,0.3,GW
