country,technology,carrier,heat_type,year,value,unit
XY,EDLH,Electricity,IND-LH,2035,0.6494,TWh
XY,EHPP,Electricity,IND-LH,2035,2.7233,TWh
XY,EIDT,Electricity,IND-HH,2035,60.7467,TWh
XY,IND_BOILER,Bio,IND-HH,2035,13.6315,TWh
XY,IND_BOILER,Bio,IND-LH,2035,51.04,TWh
XY,IND_BOILER,Gas,IND-LH,2035,24.8838,TWh
XY,IND_BOILER,Hrdc,IND-HH,2035,8.2798,TWh
XY,IND_BOILER,Hrdc,IND-LH,2035,9.4512,TWh
XY,IND_BOILER,Hyd,IND-LH,2035,0.4056,TWh
XY,IND_BOILER,Oil,IND-LH,2035,12.5874,TWh
YZ,EDLH,Electricity,IND-LH,2035,0.9464,TWh
YZ,EERH,Electricity,IND-HH,2035,0.4029,TWh
YZ,EHPP,Electricity,IND-LH,2035,21.509,TWh
YZ,EIDT,Electricity,IND-HH,2035,49.7198,TWh
YZ,IND_BOILER,Bio,IND-HH,2035,20.2563,TWh
YZ,IND_BOILER,Bio,IND-LH,2035,51.0226,TWh
YZ,IND_BOILER,Gas,IND-LH,2035,4.3558,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2035,12.279,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2035,9.5069,TWh
YZ,IND_BOILER,Oil,IND-LH,2035,14.4,TWh
