country,technology,year,value,unit
XY,BIOT,2035,8532.11009174312,hours
XY,CCGT,2035,52.80898876404494,hours
XY,HDAM,2035,4.0,hours
XY,NUCL,2035,6179.48717948718,hours
XY,PHOT,2035,1565.7894736842106,hours
XY,RTPV,2035,1282.051282051282,hours
XY,SubC,2035,7486.206896551725,hours
XY,WSTT,2035,3250.0,hours
XY,WTON,2035,2402.877697841727,hours
YZ,BIOT,2035,8000.0,hours
YZ,CCGT,2035,77.01149425287358,hours
YZ,HROR,2035,7501.176470588235,hours
YZ,PHOT,2035,1701.5209125475285,hours
YZ,RTPV,2035,307.6923076923077,hours
YZ,SubC,2035,3537.078651685393,hours
YZ,SupC,2035,3538.095238095238,hours
YZ,WTON,2035,3292.8571428571427,hours
