country,technology,carrier,year,value,unit
XY,EDLH,Electricity,2040,64.78,Million usd
XY,EHPP,Electricity,2040,32.82,Million usd
XY,EIDT,Electricity,2040,150.5,Million usd
XY,IND_BOILER,Bio,2040,407.5,Million usd
XY,IND_BOILER,Gas,2040,495.0,Million usd
XY,IND_BOILER,Hrdc,2040,286.0,Million usd
XY,IND_BOILER,Hyd,2040,62.7,Million usd
XY,IND_BOILER,Oil,2040,2.5,Million usd
XY,SWHT,Solar,2040,58.91,Million usd
YZ,EDLH,Electricity,2040,64.78,Million usd
YZ,EERH,Electricity,2040,88.8,Million usd
YZ,EHPP,Electricity,2040,79.3,Million usd
YZ,EIDT,Electricity,2040,118.08,Million usd
YZ,IND_BOILER,Bio,2040,407.5,Million usd
YZ,IND_BOILER,Gas,2040,462.0,Million usd
YZ,IND_BOILER,Hrdc,2040,296.5,Million usd
YZ,IND_BOILER,Oil,2040,315.0,Million usd
