country,technology,carrier,year,value,unit
XY,BIOT,Bio,2045,161.05,Million usd
YZ,BIOT,Bio,2045,2.59,Million usd
XY,BIO_SUPPLY,Bio,2045,1361.57,Million usd
YZ,BIO_SUPPLY,Bio,2045,496.8,Million usd
XY,CCGT,Gas,2045,148.33,Million usd
YZ,CCGT,Gas,2045,156.29,Million usd
XY,CSP,Solar,2045,8.52,Million usd
XY,EDLH,Electricity,2045,64.8,Million usd
YZ,EDLH,Electricity,2045,64.81,Million usd
YZ,EERH,Electricity,2045,88.82,Million usd
XY,EHPP,Electricity,2045,32.87,Million usd
YZ,EHPP,Electricity,2045,122.46,Million usd
XY,EIDT,Electricity,2045,158.48,Million usd
YZ,EIDT,Electricity,2045,144.38,Million usd
XY,ELTZ,Hyd,2045,96.71,Million usd
XY,EVCH-PRV,Electricity,2045,0.28,Million usd
YZ,EVCH-PRV,Electricity,2045,0.28,Million usd
XY,EVCH-PUB,Electricity,2045,0.18,Million usd
YZ,EVCH-PUB,Electricity,2045,0.18,Million usd
XY,GAS-IMP_SUPPLY,Gas-imp,2045,389.2,Million usd
XY,GAS_SUPPLY,Gas,2045,441.0,Million usd
YZ,GAS_SUPPLY,Gas,2045,396.0,Million usd
XY,HDAM,Water,2045,100.0,Million usd
XY,HRDC_SUPPLY,Hrdc,2045,1142.54,Million usd
YZ,HRDC_SUPPLY,Hrdc,2045,1800.68,Million usd
YZ,HROR,Water,2045,340.58,Million usd
XY,HYD,Hyd,2045,2.51,Million usd
XY,IND_BOILER,Bio,2045,797.72,Million usd
YZ,IND_BOILER,Bio,2045,789.32,Million usd
XY,IND_BOILER,Gas,2045,566.03,Million usd
YZ,IND_BOILER,Gas,2045,495.84,Million usd
XY,IND_BOILER,Hrdc,2045,277.98,Million usd
YZ,IND_BOILER,Hrdc,2045,338.74,Million usd
XY,IND_BOILER,Hyd,2045,251.65,Million usd
XY,IND_BOILER,Oil,2045,2.5,Million usd
YZ,IND_BOILER,Oil,2045,350.97,Million usd
XY,LIG_SUPPLY,Lig,2045,181.03,Million usd
YZ,LIG_SUPPLY,Lig,2045,88.98,Million usd
XY,NUCL,Uranium,2045,280.57,Million usd
YZ,OCGT,Gas,2045,69.98,Million usd
XY,OILT,Oil,2045,2.52,Million usd
YZ,OILT,Oil,2045,4.0,Million usd
YZ,OIL_SUPPLY,Oil,2045,316.62,Million usd
XY,PHOT,Solar,2045,210.43,Million usd
YZ,PHOT,Solar,2045,459.16,Million usd
XY,RTPV,Solar,2045,5.33,Million usd
YZ,RTPV,Solar,2045,5.07,Million usd
XY,SWHT,Solar,2045,58.96,Million usd
XY,SubC,Hrdc,2045,129.83,Million usd
YZ,SubC,Hrdc,2045,286.59,Million usd
XY,SubC,Lig,2045,91.77,Million usd
YZ,SubC,Lig,2045,122.06,Million usd
YZ,SupC,Hrdc,2045,276.46,Million usd
XY,URANIUM_SUPPLY,Uranium,2045,87.64,Million usd
XY,WASTE_SUPPLY,Waste,2045,7.28,Million usd
XY,WSTT,Waste,2045,2.75,Million usd
XY,WTON,Wind,2045,351.56,Million usd
YZ,WTON,Wind,2045,433.29,Million usd
