snapshot,country,technology,value,unit
2045-01-01 00:00:00,XY,IND_BOILER,10411.1,MW
2045-01-02 01:00:00,XY,IND_BOILER,11367.8,MW
2045-01-03 02:00:00,XY,IND_BOILER,10965.4,MW
2045-01-04 03:00:00,XY,IND_BOILER,10864.8,MW
2045-01-05 04:00:00,XY,IND_BOILER,9832.0,MW
2045-01-06 05:00:00,XY,IND_BOILER,9517.5,MW
2045-01-07 06:00:00,XY,IND_BOILER,11468.4,MW
2045-01-08 07:00:00,XY,IND_BOILER,11919.1,MW
2045-01-09 08:00:00,XY,IND_BOILER,10619.2,MW
2045-01-10 09:00:00,XY,IND_BOILER,9448.9,MW
2045-01-11 10:00:00,XY,IND_BOILER,7855.9,MW
2045-01-12 11:00:00,XY,IND_BOILER,6622.7,MW
2045-01-13 12:00:00,XY,IND_BOILER,6781.4,MW
2045-01-14 13:00:00,XY,IND_BOILER,7863.0,MW
2045-01-15 14:00:00,XY,IND_BOILER,8908.8,MW
2045-01-16 15:00:00,XY,IND_BOILER,9705.8,MW
2045-01-17 16:00:00,XY,IND_BOILER,9630.6,MW
2045-01-18 17:00:00,XY,IND_BOILER,8774.1,MW
2045-01-19 18:00:00,XY,IND_BOILER,10830.8,MW
2045-01-20 19:00:00,XY,IND_BOILER,12876.8,MW
2045-01-21 20:00:00,XY,IND_BOILER,13078.0,MW
2045-01-22 21:00:00,XY,IND_BOILER,13480.4,MW
2045-01-23 22:00:00,XY,IND_BOILER,13379.8,MW
2045-01-24 23:00:00,XY,IND_BOILER,12072.0,MW
2045-01-26 00:00:00,XY,IND_BOILER,9829.0,MW
2045-01-27 01:00:00,XY,IND_BOILER,9858.8,MW
2045-01-28 02:00:00,XY,IND_BOILER,9959.4,MW
2045-01-29 03:00:00,XY,IND_BOILER,9387.9,MW
2045-01-30 04:00:00,XY,IND_BOILER,9867.5,MW
2045-01-31 05:00:00,XY,IND_BOILER,9186.9,MW
2045-02-01 06:00:00,XY,IND_BOILER,8908.9,MW
2045-02-02 07:00:00,XY,IND_BOILER,9263.7,MW
2045-02-03 08:00:00,XY,IND_BOILER,10718.1,MW
2045-02-04 09:00:00,XY,IND_BOILER,10236.7,MW
2045-02-05 10:00:00,XY,IND_BOILER,9728.8,MW
2045-02-06 11:00:00,XY,IND_BOILER,8716.6,MW
2045-02-07 12:00:00,XY,IND_BOILER,7767.0,MW
2045-02-08 13:00:00,XY,IND_BOILER,5805.4,MW
2045-02-09 14:00:00,XY,IND_BOILER,6133.2,MW
2045-02-10 15:00:00,XY,IND_BOILER,8816.3,MW
2045-02-11 16:00:00,XY,IND_BOILER,9282.5,MW
2045-02-12 17:00:00,XY,IND_BOILER,10725.7,MW
2045-02-13 18:00:00,XY,IND_BOILER,13187.9,MW
2045-02-14 19:00:00,XY,IND_BOILER,12876.8,MW
