snapshot,country,value,region,technology,unit
2050-01-01 00:00:00,XY,7842.0,CE,EIDT,MW
2050-01-02 01:00:00,XY,7842.0,CE,EIDT,MW
2050-01-03 02:00:00,XY,7842.0,CE,EIDT,MW
2050-01-04 03:00:00,XY,7842.0,CE,EIDT,MW
2050-01-05 04:00:00,XY,7770.0,CE,EIDT,MW
2050-01-06 05:00:00,XY,7842.0,CE,EIDT,MW
2050-01-07 06:00:00,XY,7842.0,CE,EIDT,MW
2050-01-08 07:00:00,XY,7842.0,CE,EIDT,MW
2050-01-09 08:00:00,XY,7842.0,CE,EIDT,MW
2050-01-10 09:00:00,XY,7842.0,CE,EIDT,MW
2050-01-11 10:00:00,XY,7842.0,CE,EIDT,MW
2050-01-12 11:00:00,XY,7842.0,CE,EIDT,MW
2050-01-13 12:00:00,XY,7842.0,CE,EIDT,MW
2050-01-14 13:00:00,XY,7842.0,CE,EIDT,MW
2050-01-15 14:00:00,XY,7842.0,CE,EIDT,MW
2050-01-16 15:00:00,XY,7842.0,CE,EIDT,MW
2050-01-17 16:00:00,XY,7842.0,CE,EIDT,MW
2050-01-18 17:00:00,XY,7842.0,CE,EIDT,MW
2050-01-19 18:00:00,XY,7842.0,CE,EIDT,MW
2050-01-20 19:00:00,XY,7472.0,CE,EIDT,MW
2050-01-21 20:00:00,XY,7620.0,CE,EIDT,MW
2050-01-22 21:00:00,XY,7842.0,CE,EIDT,MW
2050-01-23 22:00:00,XY,7842.0,CE,EIDT,MW
2050-01-24 23:00:00,XY,7842.0,CE,EIDT,MW
2050-01-26 00:00:00,XY,7696.0,CE,EIDT,MW
2050-01-27 01:00:00,XY,7252.0,CE,EIDT,MW
2050-01-28 02:00:00,XY,7326.0,CE,EIDT,MW
2050-01-29 03:00:00,XY,7474.0,CE,EIDT,MW
2050-01-30 04:00:00,XY,7770.0,CE,EIDT,MW
2050-01-31 05:00:00,XY,7696.0,CE,EIDT,MW
2050-02-01 06:00:00,XY,7622.0,CE,EIDT,MW
2050-02-02 07:00:00,XY,7842.0,CE,EIDT,MW
2050-02-03 08:00:00,XY,7842.0,CE,EIDT,MW
2050-02-04 09:00:00,XY,7842.0,CE,EIDT,MW
2050-02-05 10:00:00,XY,7842.0,CE,EIDT,MW
2050-02-06 11:00:00,XY,7842.0,CE,EIDT,MW
2050-02-07 12:00:00,XY,7842.0,CE,EIDT,MW
2050-02-08 13:00:00,XY,7842.0,CE,EIDT,MW
2050-02-09 14:00:00,XY,7842.0,CE,EIDT,MW
2050-02-10 15:00:00,XY,7842.0,CE,EIDT,MW
2050-02-11 16:00:00,XY,7842.0,CE,EIDT,MW
2050-02-12 17:00:00,XY,7842.0,CE,EIDT,MW
2050-02-13 18:00:00,XY,7842.0,CE,EIDT,MW
2050-02-14 19:00:00,XY,7472.0,CE,EIDT,MW
2050-02-15 20:00:00,XY,7842.0,CE,EIDT,MW
2050-02-16 21:00:00,XY,7842.0,CE,EIDT,MW
2050-02-17 22:00:00,XY,7842.0,CE,EIDT,MW
2050-02-18 23:00:00,XY,7842.0,CE,EIDT,MW
2050-02-20 00:00:00,XY,7842.0,CE,EIDT,MW
2050-02-21 01:00:00,XY,7770.0,CE,EIDT,MW
2050-02-22 02:00:00,XY,7104.0,CE,EIDT,MW
2050-02-23 03:00:00,XY,6660.0,CE,EIDT,MW
2050-02-24 04:00:00,XY,6882.0,CE,EIDT,MW
2050-02-25 05:00:00,XY,7622.0,CE,EIDT,MW
2050-02-26 06:00:00,XY,7842.0,CE,EIDT,MW
