flow,snapshot,value,unit
XY_CE_to_XY_NR,2050-01-01 00:00:00,-2557.4493899795907,MW
XY_CE_to_XY_NR,2050-01-02 01:00:00,-3922.364475120467,MW
XY_CE_to_XY_NR,2050-01-03 02:00:00,-4094.817808453791,MW
XY_CE_to_XY_NR,2050-01-04 03:00:00,-4168.601141787123,MW
XY_CE_to_XY_NR,2050-01-05 04:00:00,-3396.356852735386,MW
XY_CE_to_XY_NR,2050-01-06 05:00:00,-2743.0993899795903,MW
XY_CE_to_XY_NR,2050-01-07 06:00:00,-3570.343451890259,MW
XY_CE_to_XY_NR,2050-01-08 07:00:00,-3029.1869400981072,MW
XY_CE_to_XY_NR,2050-01-09 08:00:00,-3046.1869400981172,MW
XY_CE_to_XY_NR,2050-01-10 09:00:00,-3030.636940098117,MW
XY_CE_to_XY_NR,2050-01-11 10:00:00,-3221.586940098118,MW
XY_CE_to_XY_NR,2050-01-12 11:00:00,-3163.986940098117,MW
XY_CE_to_XY_NR,2050-01-13 12:00:00,-3080.2846201629636,MW
XY_CE_to_XY_NR,2050-01-14 13:00:00,-3263.9452276405077,MW
XY_CE_to_XY_NR,2050-01-15 14:00:00,-3309.3369400981173,MW
XY_CE_to_XY_NR,2050-01-16 15:00:00,-3305.9369400981177,MW
XY_CE_to_XY_NR,2050-01-17 16:00:00,-3016.4369400981273,MW
XY_CE_to_XY_NR,2050-01-18 17:00:00,-3313.164212825118,MW
XY_CE_to_XY_NR,2050-01-19 18:00:00,-3141.7824973245997,MW
XY_CE_to_XY_NR,2050-01-20 19:00:00,-4061.5548111826993,MW
XY_CE_to_XY_NR,2050-01-21 20:00:00,-4119.4416170827235,MW
XY_CE_to_XY_NR,2050-01-22 21:00:00,-3456.356400421266,MW
XY_CE_to_XY_NR,2050-01-23 22:00:00,-3008.4903599155796,MW
XY_CE_to_XY_NR,2050-01-24 23:00:00,-3415.088449208055,MW
XY_CE_to_XY_NR,2050-01-26 00:00:00,-3551.6566627066,MW
XY_CE_to_XY_NR,2050-01-27 01:00:00,-3008.710236259366,MW
XY_CE_to_XY_NR,2050-01-28 02:00:00,-3281.0175728977597,MW
XY_CE_to_XY_NR,2050-01-29 03:00:00,-3637.7935977005995,MW
XY_CE_to_XY_NR,2050-01-30 04:00:00,-3735.35921416837,MW
XY_CE_to_XY_NR,2050-01-31 05:00:00,-3823.914212825108,MW
XY_CE_to_XY_NR,2050-02-01 06:00:00,-3790.786662706599,MW
XY_CE_to_XY_NR,2050-02-02 07:00:00,-3679.9035977006197,MW
XY_CE_to_XY_NR,2050-02-03 08:00:00,-3148.0092141683804,MW
XY_CE_to_XY_NR,2050-02-04 09:00:00,-2915.111906747449,MW
XY_CE_to_XY_NR,2050-02-05 10:00:00,-3987.4642128251176,MW
XY_CE_to_XY_NR,2050-02-06 11:00:00,-3062.1369400981175,MW
XY_CE_to_XY_NR,2050-02-07 12:00:00,-3167.586940098117,MW
XY_CE_to_XY_NR,2050-02-08 13:00:00,-3846.658774890282,MW
XY_CE_to_XY_NR,2050-02-09 14:00:00,-3657.486940098117,MW
XY_CE_to_XY_NR,2050-02-10 15:00:00,-3296.1793899796066,MW
XY_CE_to_XY_NR,2050-02-11 16:00:00,-3208.2466627066106,MW
XY_CE_to_XY_NR,2050-02-12 17:00:00,-3161.9722791743793,MW
XY_CE_to_XY_NR,2050-02-13 18:00:00,-2723.9057066911914,MW
