country,carrier,year,value,unit
XY,Electricity,2025,76.9,TWh
XY,High_Heat,2025,77.7,TWh
XY,Low_Heat,2025,98.0,TWh
YZ,Electricity,2025,119.1,TWh
YZ,High_Heat,2025,77.7,TWh
YZ,Low_Heat,2025,98.0,TWh
XY,Electricity,2030,79.6,TWh
XY,High_Heat,2030,80.2,TWh
XY,Low_Heat,2030,100.4,TWh
YZ,Electricity,2030,150.9,TWh
YZ,High_Heat,2030,80.2,TWh
YZ,Low_Heat,2030,100.5,TWh
XY,Electricity,2035,87.7,TWh
XY,High_Heat,2035,82.7,TWh
XY,Low_Heat,2035,101.7,TWh
YZ,Electricity,2035,164.1,TWh
YZ,High_Heat,2035,82.7,TWh
YZ,Low_Heat,2035,101.7,TWh
XY,Electricity,2040,101.5,TWh
XY,High_Heat,2040,83.9,TWh
XY,Low_Heat,2040,101.7,TWh
YZ,Electricity,2040,191.6,TWh
YZ,High_Heat,2040,83.9,TWh
YZ,Low_Heat,2040,101.7,TWh
XY,Electricity,2045,114.2,TWh
XY,High_Heat,2045,85.1,TWh
XY,Low_Heat,2045,101.0,TWh
YZ,Electricity,2045,221.0,TWh
YZ,High_Heat,2045,85.1,TWh
YZ,Low_Heat,2045,101.0,TWh
XY,Electricity,2050,121.0,TWh
XY,High_Heat,2050,86.3,TWh
XY,Low_Heat,2050,95.8,TWh
YZ,Electricity,2050,246.5,TWh
YZ,High_Heat,2050,86.3,TWh
YZ,Low_Heat,2050,96.6,TWh
