country,carrier,value,year,unit
XY,Solar,3834402.75,2025,TWh
XY,Wind,228035.0,2025,TWh
YZ,Solar,2081673.4210526263,2025,TWh
YZ,Wind,4485830.0,2025,TWh
XY,Bio,139688888.8888307,2025,TWh
XY,Gas,4000000.000000001,2025,TWh
XY,Gas-imp,45696877.537765846,2025,TWh
XY,Hrdc,111172862.69849378,2025,TWh
XY,Lig,60342857.14283201,2025,TWh
XY,Oil,14000000.000000002,2025,TWh
XY,Uranium,29213333.333351195,2025,TWh
XY,Waste,1237500.0,2025,TWh
YZ,Bio,80044633.56968205,2025,TWh
YZ,Gas,3999999.999999999,2025,TWh
YZ,Hrdc,175508450.0000353,2025,TWh
YZ,Lig,44666666.666688,2025,TWh
YZ,Oil,14000000.00000002,2025,TWh
XY,Solar,14571543.389723876,2030,TWh
XY,Wind,8980081.37309529,2030,TWh
YZ,Solar,8343455.839473006,2030,TWh
YZ,Water,63762750.0,2030,TWh
YZ,Wind,60385311.75476197,2030,TWh
XY,Bio,131827436.83910756,2030,TWh
XY,Gas,4999999.999999998,2030,TWh
XY,Gas-imp,24138704.562919755,2030,TWh
XY,Hrdc,82561671.26588534,2030,TWh
XY,Lig,60342857.14283201,2030,TWh
XY,Oil,13982222.222196802,2030,TWh
XY,Uranium,29213333.333351195,2030,TWh
XY,Waste,379265.625,2030,TWh
YZ,Bio,80014816.16059536,2030,TWh
YZ,Gas,5000000.000000004,2030,TWh
YZ,Hrdc,161918301.1516987,2030,TWh
YZ,Lig,43530479.45556459,2030,TWh
YZ,Oil,15000000.000000171,2030,TWh
XY,Solar,14787272.28310532,2035,TWh
XY,Wind,10021191.996817077,2035,TWh
YZ,Solar,9067011.745516889,2035,TWh
YZ,Water,63762750.0,2035,TWh
YZ,Wind,69146519.88894819,2035,TWh
XY,Bio,133847734.7001122,2035,TWh
XY,Gas,6000000.000000001,2035,TWh
XY,Gas-imp,23462937.490752947,2035,TWh
XY,Hrdc,83421292.85488223,2035,TWh
XY,Lig,60342857.14283201,2035,TWh
XY,Oil,13985986.111085914,2035,TWh
XY,Uranium,29213333.333351195,2035,TWh
XY,Waste,391067.17859019665,2035,TWh
YZ,Bio,79541300.52603884,2035,TWh
YZ,Gas,6000000.0,2035,TWh
YZ,Hrdc,143733802.93879914,2035,TWh
YZ,Lig,43416675.161160685,2035,TWh
YZ,Oil,16000000.000000035,2035,TWh
XY,Solar,21058221.81058491,2040,TWh
XY,Wind,12989329.563609457,2040,TWh
YZ,Solar,11597239.652164474,2040,TWh
YZ,Water,63762750.0,2040,TWh
YZ,Wind,78753374.57077566,2040,TWh
XY,Bio,134006448.03171484,2040,TWh
XY,Gas,8000000.000000005,2040,TWh
XY,Gas-imp,19066354.49809592,2040,TWh
XY,Hrdc,95068419.07386564,2040,TWh
XY,Lig,60342857.14283201,2040,TWh
XY,Uranium,29213333.333351195,2040,TWh
XY,Waste,373038.2092329709,2040,TWh
YZ,Bio,78087576.89975351,2040,TWh
YZ,Gas,7999999.999999989,2040,TWh
YZ,Hrdc,138969694.53747043,2040,TWh
YZ,Lig,43749008.14204625,2040,TWh
YZ,Oil,18000000.000000037,2040,TWh
XY,Solar,37188287.75661476,2045,TWh
XY,Wind,19770430.56198068,2045,TWh
YZ,Solar,62540068.29397746,2045,TWh
YZ,Water,63762750.0,2045,TWh
YZ,Wind,68882097.78710234,2045,TWh
XY,Bio,136156783.00012237,2045,TWh
XY,Gas,9000000.00000001,2045,TWh
XY,Gas-imp,6950007.143110752,2045,TWh
XY,Hrdc,71408614.28559498,2045,TWh
XY,Lig,60342857.14283201,2045,TWh
XY,Uranium,29213333.333351195,2045,TWh
XY,Waste,259875.00000057215,2045,TWh
YZ,Bio,70971057.78019711,2045,TWh
YZ,Gas,8999999.999999989,2045,TWh
YZ,Hrdc,128620112.58604725,2045,TWh
YZ,Lig,35590319.741895884,2045,TWh
YZ,Oil,6332410.972955504,2045,TWh
XY,Solar,107902077.79323883,2050,TWh
XY,Wind,25155994.667325992,2050,TWh
YZ,Solar,70460058.51857625,2050,TWh
YZ,Water,63762750.0,2050,TWh
YZ,Wind,69793337.56602216,2050,TWh
XY,Bio,131452364.31466132,2050,TWh
XY,Gas,2742764.533201231,2050,TWh
XY,Hrdc,23053855.997151263,2050,TWh
XY,Lig,59136229.150991246,2050,TWh
XY,Uranium,29213333.333351195,2050,TWh
XY,Waste,259874.9999999999,2050,TWh
YZ,Bio,71210925.53847948,2050,TWh
YZ,Gas,9999999.999999996,2050,TWh
YZ,Hrdc,118501019.34329414,2050,TWh
YZ,Lig,35327578.68054652,2050,TWh
YZ,Oil,14184274.331080908,2050,TWh
