country,technology,carrier,year,value,unit
XY,EDLH,Electricity,2025,104.84,Million usd
XY,EHPP,Electricity,2025,13.53,Million usd
XY,EIDT,Electricity,2025,19.26,Million usd
XY,IND_BOILER,Bio,2025,127.22,Million usd
XY,IND_BOILER,Gas,2025,136.43,Million usd
XY,IND_BOILER,Hrdc,2025,107.08,Million usd
XY,IND_BOILER,Oil,2025,98.34,Million usd
YZ,EDLH,Electricity,2025,170.96,Million usd
YZ,EERH,Electricity,2025,227.65,Million usd
YZ,EHPP,Electricity,2025,39.99,Million usd
YZ,EIDT,Electricity,2025,31.4,Million usd
YZ,IND_BOILER,Bio,2025,197.53,Million usd
YZ,IND_BOILER,Gas,2025,223.95,Million usd
YZ,IND_BOILER,Hrdc,2025,166.27,Million usd
YZ,IND_BOILER,Oil,2025,152.69,Million usd
XY,EDLH,Electricity,2030,104.84,Million usd
XY,EHPP,Electricity,2030,23.68,Million usd
XY,EIDT,Electricity,2030,204.68,Million usd
XY,IND_BOILER,Bio,2030,127.22,Million usd
XY,IND_BOILER,Gas,2030,154.53,Million usd
XY,IND_BOILER,Hrdc,2030,107.08,Million usd
XY,IND_BOILER,Oil,2030,49.17,Million usd
YZ,EDLH,Electricity,2030,170.96,Million usd
YZ,EERH,Electricity,2030,227.65,Million usd
YZ,EHPP,Electricity,2030,216.73,Million usd
YZ,EIDT,Electricity,2030,148.71,Million usd
YZ,IND_BOILER,Bio,2030,197.53,Million usd
YZ,IND_BOILER,Gas,2030,223.95,Million usd
YZ,IND_BOILER,Hrdc,2030,166.27,Million usd
YZ,IND_BOILER,Oil,2030,152.69,Million usd
XY,EDLH,Electricity,2035,104.84,Million usd
XY,EHPP,Electricity,2035,31.59,Million usd
XY,EIDT,Electricity,2035,210.82,Million usd
XY,IND_BOILER,Bio,2035,127.22,Million usd
XY,IND_BOILER,Gas,2035,154.53,Million usd
XY,IND_BOILER,Hrdc,2035,89.29,Million usd
XY,IND_BOILER,Hyd,2035,1.97,Million usd
XY,IND_BOILER,Oil,2035,49.17,Million usd
YZ,EDLH,Electricity,2035,170.96,Million usd
YZ,EERH,Electricity,2035,227.65,Million usd
YZ,EHPP,Electricity,2035,218.72,Million usd
YZ,EIDT,Electricity,2035,243.66,Million usd
YZ,IND_BOILER,Bio,2035,197.53,Million usd
YZ,IND_BOILER,Gas,2035,223.95,Million usd
YZ,IND_BOILER,Hrdc,2035,143.73,Million usd
YZ,IND_BOILER,Oil,2035,152.69,Million usd
XY,EDLH,Electricity,2040,104.84,Million usd
XY,EHPP,Electricity,2040,55.51,Million usd
XY,EIDT,Electricity,2040,217.56,Million usd
XY,IND_BOILER,Bio,2040,127.22,Million usd
XY,IND_BOILER,Gas,2040,154.53,Million usd
XY,IND_BOILER,Hrdc,2040,89.29,Million usd
XY,IND_BOILER,Hyd,2040,19.57,Million usd
XY,IND_BOILER,Oil,2040,0.78,Million usd
XY,SWHT,Solar,2040,315.12,Million usd
YZ,EDLH,Electricity,2040,170.96,Million usd
YZ,EERH,Electricity,2040,227.65,Million usd
YZ,EHPP,Electricity,2040,218.72,Million usd
YZ,EIDT,Electricity,2040,278.36,Million usd
YZ,IND_BOILER,Bio,2040,197.53,Million usd
YZ,IND_BOILER,Gas,2040,223.95,Million usd
YZ,IND_BOILER,Hrdc,2040,143.73,Million usd
YZ,IND_BOILER,Oil,2040,152.69,Million usd
XY,EDLH,Electricity,2045,104.84,Million usd
XY,EHPP,Electricity,2045,55.51,Million usd
XY,EIDT,Electricity,2045,228.83,Million usd
XY,IND_BOILER,Bio,2045,127.22,Million usd
XY,IND_BOILER,Gas,2045,154.53,Million usd
XY,IND_BOILER,Hrdc,2045,71.49,Million usd
XY,IND_BOILER,Hyd,2045,42.89,Million usd
XY,IND_BOILER,Oil,2045,0.78,Million usd
XY,SWHT,Solar,2045,315.12,Million usd
YZ,EDLH,Electricity,2045,170.96,Million usd
YZ,EERH,Electricity,2045,227.65,Million usd
YZ,EHPP,Electricity,2045,336.68,Million usd
YZ,EIDT,Electricity,2045,339.95,Million usd
YZ,IND_BOILER,Bio,2045,197.53,Million usd
YZ,IND_BOILER,Gas,2045,223.95,Million usd
YZ,IND_BOILER,Hrdc,2045,131.12,Million usd
YZ,IND_BOILER,Oil,2045,152.69,Million usd
XY,EDLH,Electricity,2050,104.84,Million usd
XY,EHPP,Electricity,2050,71.58,Million usd
XY,EIDT,Electricity,2050,240.96,Million usd
XY,IND_BOILER,Bio,2050,127.22,Million usd
XY,IND_BOILER,Gas,2050,154.53,Million usd
XY,IND_BOILER,Hrdc,2050,71.49,Million usd
XY,IND_BOILER,Hyd,2050,57.46,Million usd
XY,IND_BOILER,Oil,2050,0.78,Million usd
XY,SWHT,Solar,2050,315.12,Million usd
YZ,EDLH,Electricity,2050,170.96,Million usd
YZ,EERH,Electricity,2050,227.65,Million usd
YZ,EHPP,Electricity,2050,336.68,Million usd
YZ,EIDT,Electricity,2050,344.11,Million usd
YZ,IND_BOILER,Bio,2050,197.53,Million usd
YZ,IND_BOILER,Gas,2050,223.95,Million usd
YZ,IND_BOILER,Hrdc,2050,131.12,Million usd
YZ,IND_BOILER,Oil,2050,152.69,Million usd
