country,carrier,year,value,unit
YZ,Gas,2025,0.8,Million usd
YZ,Hrdc,2025,20.03,Million usd
YZ,Oil,2025,3.92,Million usd
YZ,Gas,2030,0.81,Million usd
YZ,Hrdc,2030,14.88,Million usd
YZ,Oil,2030,4.2,Million usd
YZ,Gas,2035,0.97,Million usd
YZ,Hrdc,2035,8.47,Million usd
YZ,Oil,2035,4.48,Million usd
YZ,Gas,2040,1.37,Million usd
YZ,Hrdc,2040,6.92,Million usd
YZ,Oil,2040,5.04,Million usd
YZ,Gas,2045,1.21,Million usd
YZ,Hrdc,2045,4.15,Million usd
YZ,Oil,2045,1.77,Million usd
YZ,Gas,2050,0.85,Million usd
YZ,Hrdc,2050,4.18,Million usd
YZ,Oil,2050,3.97,Million usd
