country,technology,carrier,year,value,unit
XY,EDLH,Electricity,2025,64.78,Million usd
XY,EHPP,Electricity,2025,8.0,Million usd
XY,EIDT,Electricity,2025,13.32,Million usd
XY,IND_BOILER,Bio,2025,407.5,Million usd
XY,IND_BOILER,Gas,2025,437.0,Million usd
XY,IND_BOILER,Hrdc,2025,343.0,Million usd
XY,IND_BOILER,Oil,2025,315.0,Million usd
YZ,EDLH,Electricity,2025,64.78,Million usd
YZ,EERH,Electricity,2025,88.8,Million usd
YZ,EHPP,Electricity,2025,14.5,Million usd
YZ,EIDT,Electricity,2025,13.32,Million usd
YZ,IND_BOILER,Bio,2025,407.5,Million usd
YZ,IND_BOILER,Gas,2025,462.0,Million usd
YZ,IND_BOILER,Hrdc,2025,343.0,Million usd
YZ,IND_BOILER,Oil,2025,315.0,Million usd
XY,EDLH,Electricity,2030,64.78,Million usd
XY,EHPP,Electricity,2030,14.0,Million usd
XY,EIDT,Electricity,2030,141.59,Million usd
XY,IND_BOILER,Bio,2030,407.5,Million usd
XY,IND_BOILER,Gas,2030,495.0,Million usd
XY,IND_BOILER,Hrdc,2030,343.0,Million usd
XY,IND_BOILER,Oil,2030,157.5,Million usd
YZ,EDLH,Electricity,2030,64.78,Million usd
YZ,EERH,Electricity,2030,88.8,Million usd
YZ,EHPP,Electricity,2030,78.58,Million usd
YZ,EIDT,Electricity,2030,63.08,Million usd
YZ,IND_BOILER,Bio,2030,407.5,Million usd
YZ,IND_BOILER,Gas,2030,462.0,Million usd
YZ,IND_BOILER,Hrdc,2030,343.0,Million usd
YZ,IND_BOILER,Oil,2030,315.0,Million usd
XY,EDLH,Electricity,2035,64.78,Million usd
XY,EHPP,Electricity,2035,18.68,Million usd
XY,EIDT,Electricity,2035,145.84,Million usd
XY,IND_BOILER,Bio,2035,407.5,Million usd
XY,IND_BOILER,Gas,2035,495.0,Million usd
XY,IND_BOILER,Hrdc,2035,286.0,Million usd
XY,IND_BOILER,Hyd,2035,6.3,Million usd
XY,IND_BOILER,Oil,2035,157.5,Million usd
YZ,EDLH,Electricity,2035,64.78,Million usd
YZ,EERH,Electricity,2035,88.8,Million usd
YZ,EHPP,Electricity,2035,79.3,Million usd
YZ,EIDT,Electricity,2035,103.37,Million usd
YZ,IND_BOILER,Bio,2035,407.5,Million usd
YZ,IND_BOILER,Gas,2035,462.0,Million usd
YZ,IND_BOILER,Hrdc,2035,296.5,Million usd
YZ,IND_BOILER,Oil,2035,315.0,Million usd
XY,EDLH,Electricity,2040,64.78,Million usd
XY,EHPP,Electricity,2040,32.82,Million usd
XY,EIDT,Electricity,2040,150.5,Million usd
XY,IND_BOILER,Bio,2040,407.5,Million usd
XY,IND_BOILER,Gas,2040,495.0,Million usd
XY,IND_BOILER,Hrdc,2040,286.0,Million usd
XY,IND_BOILER,Hyd,2040,62.7,Million usd
XY,IND_BOILER,Oil,2040,2.5,Million usd
XY,SWHT,Solar,2040,58.91,Million usd
YZ,EDLH,Electricity,2040,64.78,Million usd
YZ,EERH,Electricity,2040,88.8,Million usd
YZ,EHPP,Electricity,2040,79.3,Million usd
YZ,EIDT,Electricity,2040,118.08,Million usd
YZ,IND_BOILER,Bio,2040,407.5,Million usd
YZ,IND_BOILER,Gas,2040,462.0,Million usd
YZ,IND_BOILER,Hrdc,2040,296.5,Million usd
YZ,IND_BOILER,Oil,2040,315.0,Million usd
XY,EDLH,Electricity,2045,64.78,Million usd
XY,EHPP,Electricity,2045,32.82,Million usd
XY,EIDT,Electricity,2045,158.3,Million usd
XY,IND_BOILER,Bio,2045,407.5,Million usd
XY,IND_BOILER,Gas,2045,495.0,Million usd
XY,IND_BOILER,Hrdc,2045,229.0,Million usd
XY,IND_BOILER,Hyd,2045,137.4,Million usd
XY,IND_BOILER,Oil,2045,2.5,Million usd
XY,SWHT,Solar,2045,58.91,Million usd
YZ,EDLH,Electricity,2045,64.78,Million usd
YZ,EERH,Electricity,2045,88.8,Million usd
YZ,EHPP,Electricity,2045,122.07,Million usd
YZ,EIDT,Electricity,2045,144.21,Million usd
YZ,IND_BOILER,Bio,2045,407.5,Million usd
YZ,IND_BOILER,Gas,2045,462.0,Million usd
YZ,IND_BOILER,Hrdc,2045,270.5,Million usd
YZ,IND_BOILER,Oil,2045,315.0,Million usd
XY,EDLH,Electricity,2050,64.78,Million usd
XY,EHPP,Electricity,2050,42.32,Million usd
XY,EIDT,Electricity,2050,166.69,Million usd
XY,IND_BOILER,Bio,2050,407.5,Million usd
XY,IND_BOILER,Gas,2050,495.0,Million usd
XY,IND_BOILER,Hrdc,2050,229.0,Million usd
XY,IND_BOILER,Hyd,2050,184.04,Million usd
XY,IND_BOILER,Oil,2050,2.5,Million usd
XY,SWHT,Solar,2050,58.91,Million usd
YZ,EDLH,Electricity,2050,64.78,Million usd
YZ,EERH,Electricity,2050,88.8,Million usd
YZ,EHPP,Electricity,2050,122.07,Million usd
YZ,EIDT,Electricity,2050,145.97,Million usd
YZ,IND_BOILER,Bio,2050,407.5,Million usd
YZ,IND_BOILER,Gas,2050,462.0,Million usd
YZ,IND_BOILER,Hrdc,2050,270.5,Million usd
YZ,IND_BOILER,Oil,2050,315.0,Million usd
