country,technology,carrier,heat_type,year,value,unit
XY,EDLH,Electricity,IND-LH,2025,0.0429,TWh
XY,EIDT,Electricity,IND-HH,2025,5.5297,TWh
XY,IND_BOILER,Bio,IND-HH,2025,20.68,TWh
XY,IND_BOILER,Bio,IND-LH,2025,51.04,TWh
XY,IND_BOILER,Gas,IND-HH,2025,9.8024,TWh
XY,IND_BOILER,Gas,IND-LH,2025,24.5593,TWh
XY,IND_BOILER,Hrdc,IND-HH,2025,41.6643,TWh
XY,IND_BOILER,Hrdc,IND-LH,2025,9.8427,TWh
XY,IND_BOILER,Oil,IND-HH,2025,0.0603,TWh
XY,IND_BOILER,Oil,IND-LH,2025,12.5397,TWh
YZ,EIDT,Electricity,IND-HH,2025,5.5287,TWh
YZ,IND_BOILER,Bio,IND-HH,2025,20.68,TWh
YZ,IND_BOILER,Bio,IND-LH,2025,51.04,TWh
YZ,IND_BOILER,Gas,IND-HH,2025,1.3089,TWh
YZ,IND_BOILER,Gas,IND-LH,2025,2.2911,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2025,41.6653,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2025,9.8427,TWh
YZ,IND_BOILER,Oil,IND-HH,2025,3.5303,TWh
YZ,IND_BOILER,Oil,IND-LH,2025,9.0697,TWh
XY,EDLH,Electricity,IND-LH,2030,0.6296,TWh
XY,EHPP,Electricity,IND-LH,2030,1.7306,TWh
XY,EIDT,Electricity,IND-HH,2030,57.2759,TWh
XY,IND_BOILER,Bio,IND-HH,2030,13.6047,TWh
XY,IND_BOILER,Bio,IND-LH,2030,51.04,TWh
XY,IND_BOILER,Gas,IND-LH,2030,24.897,TWh
XY,IND_BOILER,Hrdc,IND-HH,2030,9.367,TWh
XY,IND_BOILER,Hrdc,IND-LH,2030,9.5538,TWh
XY,IND_BOILER,Oil,IND-LH,2030,12.584,TWh
YZ,EDLH,Electricity,IND-LH,2030,0.7832,TWh
YZ,EERH,Electricity,IND-HH,2030,0.377,TWh
YZ,EHPP,Electricity,IND-LH,2030,21.9131,TWh
YZ,EIDT,Electricity,IND-HH,2030,30.5883,TWh
YZ,IND_BOILER,Bio,IND-HH,2030,20.6799,TWh
YZ,IND_BOILER,Bio,IND-LH,2030,51.0219,TWh
YZ,IND_BOILER,Gas,IND-LH,2030,3.6653,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2030,28.6024,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2030,9.6519,TWh
YZ,IND_BOILER,Oil,IND-LH,2030,13.5,TWh
XY,EDLH,Electricity,IND-LH,2035,0.6494,TWh
XY,EHPP,Electricity,IND-LH,2035,2.7233,TWh
XY,EIDT,Electricity,IND-HH,2035,60.7467,TWh
XY,IND_BOILER,Bio,IND-HH,2035,13.6315,TWh
XY,IND_BOILER,Bio,IND-LH,2035,51.04,TWh
XY,IND_BOILER,Gas,IND-LH,2035,24.8838,TWh
XY,IND_BOILER,Hrdc,IND-HH,2035,8.2798,TWh
XY,IND_BOILER,Hrdc,IND-LH,2035,9.4512,TWh
XY,IND_BOILER,Hyd,IND-LH,2035,0.4056,TWh
XY,IND_BOILER,Oil,IND-LH,2035,12.5874,TWh
YZ,EDLH,Electricity,IND-LH,2035,0.9464,TWh
YZ,EERH,Electricity,IND-HH,2035,0.4029,TWh
YZ,EHPP,Electricity,IND-LH,2035,21.509,TWh
YZ,EIDT,Electricity,IND-HH,2035,49.7198,TWh
YZ,IND_BOILER,Bio,IND-HH,2035,20.2563,TWh
YZ,IND_BOILER,Bio,IND-LH,2035,51.0226,TWh
YZ,IND_BOILER,Gas,IND-LH,2035,4.3558,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2035,12.279,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2035,9.5069,TWh
YZ,IND_BOILER,Oil,IND-LH,2035,14.4,TWh
XY,EDLH,Electricity,IND-LH,2040,0.7136,TWh
XY,EHPP,Electricity,IND-LH,2040,5.5772,TWh
XY,EIDT,Electricity,IND-HH,2040,64.2542,TWh
XY,IND_BOILER,Bio,IND-HH,2040,12.749,TWh
