country,region,year,value,unit
XY,CE,2025,32.56,GW
XY,NR,2025,5.2,GW
XY,SO,2025,4.3,GW
YZ,CE,2025,6.64,GW
YZ,NR,2025,19.46,GW
YZ,SO,2025,8.91,GW
XY,CE,2030,32.44,GW
XY,NR,2030,5.2,GW
XY,SO,2030,10.5,GW
YZ,CE,2030,17.69,GW
YZ,NR,2030,30.22,GW
YZ,SO,2030,15.91,GW
XY,CE,2035,27.7,GW
XY,NR,2035,5.2,GW
XY,SO,2035,10.98,GW
YZ,CE,2035,18.52,GW
YZ,NR,2035,32.08,GW
YZ,SO,2035,16.48,GW
XY,CE,2040,24.38,GW
XY,NR,2040,5.2,GW
XY,SO,2040,14.32,GW
YZ,CE,2040,19.68,GW
YZ,NR,2040,33.93,GW
YZ,SO,2040,17.93,GW
XY,CE,2045,19.49,GW
XY,NR,2045,5.2,GW
XY,SO,2045,25.41,GW
YZ,CE,2045,34.33,GW
YZ,NR,2045,56.19,GW
YZ,SO,2045,23.84,GW
XY,CE,2050,20.63,GW
XY,NR,2050,8.14,GW
XY,SO,2050,68.93,GW
YZ,CE,2050,35.2,GW
YZ,NR,2050,61.11,GW
YZ,SO,2050,26.01,GW
