country,technology,year,value,unit
XY,BIOT,2025,265.58,Million usd
XY,CCGT,2025,1442.4,Million usd
XY,HDAM,2025,287.58,Million usd
XY,NUCL,2025,754.85,Million usd
XY,OILT,2025,17.88,Million usd
XY,PHOT,2025,117.09,Million usd
XY,RTPV,2025,27.98,Million usd
XY,SubC,2025,433.89,Million usd
XY,WSTT,2025,7.92,Million usd
XY,WTON,2025,10.4,Million usd
YZ,BIOT,2025,5.23,Million usd
YZ,CCGT,2025,575.08,Million usd
YZ,OCGT,2025,435.38,Million usd
YZ,OILT,2025,17.75,Million usd
YZ,PHOT,2025,88.95,Million usd
YZ,RTPV,2025,47.58,Million usd
YZ,SubC,2025,1057.4,Million usd
YZ,SupC,2025,1002.45,Million usd
YZ,WTON,2025,225.95,Million usd
XY,BIOT,2030,265.58,Million usd
XY,CCGT,2030,1211.83,Million usd
XY,HDAM,2030,287.58,Million usd
XY,ITCN,2030,17.16,Million usd
XY,NUCL,2030,754.85,Million usd
XY,OILT,2030,17.88,Million usd
XY,PHOT,2030,401.93,Million usd
XY,RTPV,2030,27.98,Million usd
XY,SubC,2030,433.89,Million usd
XY,WSTT,2030,7.92,Million usd
XY,WTON,2030,313.46,Million usd
YZ,BIOT,2030,5.23,Million usd
YZ,CCGT,2030,575.08,Million usd
YZ,HROR,2030,1817.48,Million usd
YZ,ITCN,2030,17.21,Million usd
YZ,OCGT,2030,435.38,Million usd
YZ,OILT,2030,17.75,Million usd
YZ,PHOT,2030,307.29,Million usd
YZ,RTPV,2030,47.58,Million usd
YZ,SubC,2030,1057.4,Million usd
YZ,SupC,2030,1002.45,Million usd
YZ,WTON,2030,2446.91,Million usd
XY,BIOT,2035,265.58,Million usd
XY,CCGT,2035,954.45,Million usd
XY,HDAM,2035,287.58,Million usd
XY,ITCN,2035,17.16,Million usd
XY,NUCL,2035,754.85,Million usd
XY,OILT,2035,17.88,Million usd
XY,PHOT,2035,407.41,Million usd
XY,RTPV,2035,27.98,Million usd
XY,SubC,2035,433.89,Million usd
XY,WSTT,2035,7.92,Million usd
XY,WTON,2035,348.02,Million usd
YZ,BIOT,2035,5.23,Million usd
YZ,CCGT,2035,575.08,Million usd
YZ,HROR,2035,1817.48,Million usd
YZ,ITCN,2035,17.21,Million usd
YZ,OCGT,2035,435.38,Million usd
YZ,OILT,2035,17.75,Million usd
YZ,PHOT,2035,330.71,Million usd
YZ,RTPV,2035,47.58,Million usd
YZ,SubC,2035,1057.4,Million usd
YZ,SupC,2035,1002.45,Million usd
YZ,WTON,2035,2807.3,Million usd
XY,BIOT,2040,265.58,Million usd
XY,CCGT,2040,693.86,Million usd
XY,CSP,2040,36.42,Million usd
XY,HDAM,2040,287.58,Million usd
XY,ITCN,2040,17.16,Million usd
XY,NUCL,2040,754.85,Million usd
XY,OILT,2040,17.88,Million usd
XY,PHOT,2040,528.79,Million usd
XY,RTPV,2040,27.98,Million usd
XY,SubC,2040,433.89,Million usd
XY,WSTT,2040,7.92,Million usd
XY,WTON,2040,450.02,Million usd
YZ,BIOT,2040,5.23,Million usd
YZ,CCGT,2040,575.08,Million usd
YZ,HROR,2040,1817.48,Million usd
YZ,ITCN,2040,34.42,Million usd
YZ,OCGT,2040,435.38,Million usd
YZ,OILT,2040,17.75,Million usd
YZ,PHOT,2040,405.15,Million usd
YZ,RTPV,2040,47.58,Million usd
YZ,SubC,2040,1057.4,Million usd
YZ,SupC,2040,1002.45,Million usd
YZ,WTON,2040,3175.37,Million usd
XY,BIOT,2045,265.58,Million usd
XY,CCGT,2045,354.43,Million usd
XY,CSP,2045,36.42,Million usd
XY,HDAM,2045,287.58,Million usd
XY,ITCN,2045,17.16,Million usd
XY,NUCL,2045,754.85,Million usd
XY,OILT,2045,17.88,Million usd
XY,PHOT,2045,869.51,Million usd
XY,RTPV,2045,27.98,Million usd
XY,SubC,2045,433.89,Million usd
XY,WSTT,2045,7.92,Million usd
XY,WTON,2045,681.08,Million usd
YZ,BIOT,2045,5.23,Million usd
YZ,CCGT,2045,575.08,Million usd
YZ,HROR,2045,1817.48,Million usd
YZ,ITCN,2045,34.42,Million usd
YZ,OCGT,2045,435.38,Million usd
YZ,OILT,2045,17.75,Million usd
YZ,PHOT,2045,602.11,Million usd
YZ,RTPV,2045,47.58,Million usd
YZ,SubC,2045,1057.4,Million usd
YZ,SupC,2045,1002.45,Million usd
YZ,WTON,2045,3175.37,Million usd
XY,BIOT,2050,265.58,Million usd
XY,CCGT,2050,354.43,Million usd
XY,CSP,2050,36.42,Million usd
XY,HDAM,2050,287.58,Million usd
XY,ITCN,2050,17.16,Million usd
XY,NUCL,2050,754.85,Million usd
XY,OCHT,2050,123.17,Million usd
XY,OILT,2050,17.88,Million usd
XY,PHOT,2050,2094.02,Million usd
XY,RTPV,2050,27.98,Million usd
XY,SubC,2050,433.89,Million usd
XY,WSTT,2050,7.92,Million usd
XY,WTON,2050,869.27,Million usd
YZ,BIOT,2050,5.23,Million usd
YZ,CCGT,2050,575.08,Million usd
YZ,HROR,2050,1817.48,Million usd
YZ,ITCN,2050,34.42,Million usd
YZ,OCGT,2050,435.38,Million usd
YZ,OILT,2050,17.75,Million usd
YZ,PHOT,2050,635.39,Million usd
YZ,RTPV,2050,47.58,Million usd
YZ,SubC,2050,1057.4,Million usd
YZ,SupC,2050,1002.45,Million usd
YZ,WTON,2050,3263.43,Million usd
