country,carrier,year,value,unit
XY,Gas,2025,2.3,MtCO2
XY,Hrdc,2025,18.88,MtCO2
XY,Lig,2025,21.72,MtCO2
XY,Waste,2025,0.45,MtCO2
YZ,Hrdc,2025,41.9,MtCO2
YZ,Lig,2025,16.08,MtCO2
XY,Gas,2030,0.3,MtCO2
XY,Hrdc,2030,21.54,MtCO2
XY,Lig,2030,21.72,MtCO2
XY,Waste,2030,0.14,MtCO2
YZ,Gas,2030,0.19,MtCO2
YZ,Hrdc,2030,42.31,MtCO2
YZ,Lig,2030,15.67,MtCO2
XY,Gas,2035,0.36,MtCO2
XY,Hrdc,2035,22.3,MtCO2
XY,Lig,2035,21.72,MtCO2
XY,Waste,2035,0.14,MtCO2
YZ,Gas,2035,0.23,MtCO2
YZ,Hrdc,2035,42.35,MtCO2
YZ,Lig,2035,15.63,MtCO2
XY,Gas,2040,0.34,MtCO2
XY,Hrdc,2040,27.02,MtCO2
XY,Lig,2040,21.72,MtCO2
XY,Waste,2040,0.13,MtCO2
YZ,Gas,2040,0.23,MtCO2
YZ,Hrdc,2040,42.23,MtCO2
YZ,Lig,2040,15.75,MtCO2
XY,Gas,2045,0.56,MtCO2
XY,Hrdc,2045,21.82,MtCO2
XY,Lig,2045,21.72,MtCO2
XY,Waste,2045,0.09,MtCO2
YZ,Gas,2045,0.59,MtCO2
YZ,Hrdc,2045,41.4,MtCO2
YZ,Lig,2045,12.81,MtCO2
XY,Hrdc,2050,6.94,MtCO2
XY,Lig,2050,21.29,MtCO2
XY,Waste,2050,0.09,MtCO2
YZ,Gas,2050,1.15,MtCO2
YZ,Hrdc,2050,37.68,MtCO2
YZ,Lig,2050,12.72,MtCO2
