country,technology,year,value,unit
XY,fossils,2025,71.2291933418694,%
YZ,fossils,2025,88.86134523219302,%
XY,renewables,2025,28.770806658130603,%
YZ,renewables,2025,11.138654767806974,%
XY,fossils,2030,56.01055408970975,%
YZ,fossils,2030,29.048994437312793,%
XY,renewables,2030,43.98944591029024,%
YZ,renewables,2030,70.95100556268721,%
XY,fossils,2035,55.36190280910396,%
YZ,fossils,2035,27.69355987384271,%
XY,renewables,2035,44.63809719089605,%
YZ,renewables,2035,72.30644012615728,%
XY,fossils,2040,52.47808194668099,%
YZ,fossils,2040,26.080498322951605,%
XY,renewables,2040,47.52191805331903,%
YZ,renewables,2040,73.91950167704839,%
XY,fossils,2045,41.48176583493282,%
YZ,fossils,2045,21.020705273374315,%
XY,renewables,2045,58.51823416506717,%
YZ,renewables,2045,78.9792947266257,%
XY,fossils,2050,17.79984721161192,%
YZ,fossils,2050,19.70656492152775,%
XY,renewables,2050,82.20015278838808,%
YZ,renewables,2050,80.29343507847226,%
