country,technology,year,value,unit
XY,BIOT,2025,18.0,TWh
XY,CCGT,2025,5.99,TWh
XY,NUCL,2025,9.64,TWh
XY,SubC,2025,40.0,TWh
XY,WSTT,2025,0.4,TWh
YZ,BIOT,2025,0.17,TWh
YZ,SubC,2025,31.48,TWh
YZ,SupC,2025,22.29,TWh
XY,PHOT,2025,3.28,TWh
XY,RTPV,2025,0.55,TWh
XY,WTON,2025,0.23,TWh
YZ,PHOT,2025,2.04,TWh
YZ,RTPV,2025,0.04,TWh
YZ,WTON,2025,4.49,TWh
XY,HDAM,2025,0.01,TWh
XY,BIOT,2030,18.0,TWh
XY,CCGT,2030,0.77,TWh
XY,NUCL,2030,9.64,TWh
XY,SubC,2030,42.66,TWh
XY,WSTT,2030,0.12,TWh
YZ,BIOT,2030,0.16,TWh
YZ,CCGT,2030,0.54,TWh
YZ,SubC,2030,31.48,TWh
YZ,SupC,2030,22.29,TWh
XY,PHOT,2030,14.07,TWh
XY,RTPV,2030,0.5,TWh
XY,WTON,2030,8.98,TWh
YZ,HROR,2030,63.76,TWh
YZ,PHOT,2030,8.22,TWh
YZ,RTPV,2030,0.12,TWh
YZ,WTON,2030,60.39,TWh
XY,HDAM,2030,0.01,TWh
XY,BIOT,2035,18.6,TWh
XY,CCGT,2035,0.94,TWh
XY,NUCL,2035,9.64,TWh
XY,SubC,2035,43.42,TWh
XY,WSTT,2035,0.13,TWh
YZ,BIOT,2035,0.16,TWh
YZ,CCGT,2035,0.67,TWh
YZ,SubC,2035,31.48,TWh
YZ,SupC,2035,22.29,TWh
XY,PHOT,2035,14.28,TWh
XY,RTPV,2035,0.5,TWh
XY,WTON,2035,10.02,TWh
YZ,HROR,2035,63.76,TWh
YZ,PHOT,2035,8.95,TWh
YZ,RTPV,2035,0.12,TWh
YZ,WTON,2035,69.15,TWh
XY,HDAM,2035,0.01,TWh
XY,BIOT,2040,18.95,TWh
XY,CCGT,2040,0.88,TWh
XY,NUCL,2040,9.64,TWh
XY,SubC,2040,48.14,TWh
XY,WSTT,2040,0.12,TWh
YZ,BIOT,2040,0.16,TWh
YZ,CCGT,2040,0.66,TWh
YZ,SubC,2040,31.48,TWh
YZ,SupC,2040,22.29,TWh
XY,CSP,2040,1.32,TWh
XY,PHOT,2040,19.23,TWh
XY,RTPV,2040,0.5,TWh
XY,WTON,2040,12.99,TWh
YZ,HROR,2040,63.76,TWh
YZ,PHOT,2040,11.48,TWh
YZ,RTPV,2040,0.12,TWh
YZ,WTON,2040,78.75,TWh
XY,HDAM,2040,0.01,TWh
XY,BIOT,2045,19.17,TWh
XY,CCGT,2045,1.45,TWh
XY,NUCL,2045,9.64,TWh
XY,SubC,2045,42.94,TWh
XY,WSTT,2045,0.08,TWh
YZ,BIOT,2045,0.12,TWh
YZ,CCGT,2045,1.7,TWh
YZ,OCGT,2045,0.01,TWh
YZ,SubC,2045,29.43,TWh
YZ,SupC,2045,20.84,TWh
XY,CSP,2045,1.32,TWh
XY,PHOT,2045,35.38,TWh
XY,RTPV,2045,0.49,TWh
XY,WTON,2045,19.77,TWh
YZ,HROR,2045,63.76,TWh
YZ,PHOT,2045,62.44,TWh
YZ,RTPV,2045,0.1,TWh
YZ,WTON,2045,68.88,TWh
XY,HDAM,2045,0.01,TWh
XY,BIOT,2050,19.16,TWh
XY,NUCL,2050,9.64,TWh
XY,OCHT,2050,19.85,TWh
XY,SubC,2050,27.64,TWh
XY,WSTT,2050,0.08,TWh
YZ,BIOT,2050,0.12,TWh
YZ,CCGT,2050,3.11,TWh
YZ,OCGT,2050,0.17,TWh
YZ,SubC,2050,24.53,TWh
YZ,SupC,2050,22.29,TWh
XY,CSP,2050,1.16,TWh
XY,PHOT,2050,106.3,TWh
XY,RTPV,2050,0.44,TWh
XY,WTON,2050,25.16,TWh
YZ,HROR,2050,63.76,TWh
YZ,PHOT,2050,70.41,TWh
YZ,RTPV,2050,0.05,TWh
YZ,WTON,2050,69.79,TWh
XY,HDAM,2050,0.01,TWh
