country,technology,year,value,unit
XY,BIOT,2025,757.55,Million usd
XY,CCGT,2025,1156.61,Million usd
XY,HDAM,2025,100.0,Million usd
XY,NUCL,2025,368.21,Million usd
XY,OILT,2025,2.52,Million usd
XY,PHOT,2025,27.03,Million usd
XY,RTPV,2025,5.36,Million usd
XY,SubC,2025,1157.74,Million usd
XY,WSTT,2025,39.28,Million usd
XY,WTON,2025,5.28,Million usd
YZ,BIOT,2025,5.21,Million usd
YZ,CCGT,2025,147.9,Million usd
YZ,OCGT,2025,69.92,Million usd
YZ,OILT,2025,4.0,Million usd
YZ,PHOT,2025,15.5,Million usd
YZ,RTPV,2025,5.07,Million usd
YZ,SubC,2025,987.34,Million usd
YZ,SupC,2025,953.52,Million usd
YZ,WTON,2025,28.03,Million usd
XY,BIOT,2030,757.55,Million usd
XY,CCGT,2030,572.5,Million usd
XY,HDAM,2030,100.0,Million usd
XY,NUCL,2030,368.21,Million usd
XY,OILT,2030,2.52,Million usd
XY,PHOT,2030,94.5,Million usd
XY,RTPV,2030,5.33,Million usd
XY,SubC,2030,1325.7,Million usd
XY,WSTT,2030,13.6,Million usd
XY,WTON,2030,169.85,Million usd
YZ,BIOT,2030,5.13,Million usd
YZ,CCGT,2030,209.74,Million usd
YZ,HROR,2030,340.58,Million usd
YZ,OCGT,2030,69.92,Million usd
YZ,OILT,2030,4.0,Million usd
YZ,PHOT,2030,54.7,Million usd
YZ,RTPV,2030,5.07,Million usd
YZ,SubC,2030,1048.88,Million usd
YZ,SupC,2030,1021.06,Million usd
YZ,WTON,2030,346.37,Million usd
XY,BIOT,2035,779.25,Million usd
XY,CCGT,2035,487.83,Million usd
XY,HDAM,2035,100.0,Million usd
XY,NUCL,2035,368.21,Million usd
XY,OILT,2035,2.52,Million usd
XY,PHOT,2035,95.8,Million usd
XY,RTPV,2035,5.33,Million usd
XY,SubC,2035,1358.45,Million usd
XY,WSTT,2035,13.95,Million usd
XY,WTON,2035,187.91,Million usd
YZ,BIOT,2035,5.1,Million usd
YZ,CCGT,2035,223.19,Million usd
YZ,HROR,2035,340.58,Million usd
YZ,OCGT,2035,69.92,Million usd
YZ,OILT,2035,4.0,Million usd
YZ,PHOT,2035,58.87,Million usd
YZ,RTPV,2035,5.07,Million usd
YZ,SubC,2035,1123.66,Million usd
YZ,SupC,2035,1088.59,Million usd
YZ,WTON,2035,399.15,Million usd
XY,BIOT,2040,792.23,Million usd
XY,CCGT,2040,377.65,Million usd
XY,CSP,2040,8.52,Million usd
XY,HDAM,2040,100.0,Million usd
XY,NUCL,2040,368.21,Million usd
XY,OILT,2040,2.52,Million usd
XY,PHOT,2040,124.56,Million usd
XY,RTPV,2040,5.33,Million usd
XY,SubC,2040,1560.76,Million usd
XY,WSTT,2040,13.41,Million usd
XY,WTON,2040,240.92,Million usd
YZ,BIOT,2040,5.07,Million usd
YZ,CCGT,2040,210.9,Million usd
YZ,HROR,2040,340.58,Million usd
YZ,OCGT,2040,69.92,Million usd
YZ,OILT,2040,4.0,Million usd
YZ,PHOT,2040,73.46,Million usd
YZ,RTPV,2040,5.07,Million usd
YZ,SubC,2040,1172.0,Million usd
YZ,SupC,2040,1156.13,Million usd
YZ,WTON,2040,447.9,Million usd
XY,BIOT,2045,800.0,Million usd
XY,CCGT,2045,304.96,Million usd
XY,CSP,2045,8.52,Million usd
XY,HDAM,2045,100.0,Million usd
XY,NUCL,2045,368.21,Million usd
XY,OILT,2045,2.52,Million usd
XY,PHOT,2045,210.43,Million usd
XY,RTPV,2045,5.33,Million usd
XY,SubC,2045,1400.04,Million usd
XY,WSTT,2045,10.03,Million usd
XY,WTON,2045,351.56,Million usd
YZ,BIOT,2045,4.44,Million usd
YZ,CCGT,2045,302.85,Million usd
YZ,HROR,2045,340.58,Million usd
YZ,OCGT,2045,71.53,Million usd
YZ,OILT,2045,4.0,Million usd
YZ,PHOT,2045,459.16,Million usd
YZ,RTPV,2045,5.07,Million usd
YZ,SubC,2045,1248.07,Million usd
YZ,SupC,2045,1160.54,Million usd
YZ,WTON,2045,433.29,Million usd
XY,BIOT,2050,799.55,Million usd
XY,CCGT,2050,145.46,Million usd
XY,CSP,2050,8.52,Million usd
XY,HDAM,2050,100.0,Million usd
XY,NUCL,2050,368.21,Million usd
XY,OCHT,2050,2271.16,Million usd
XY,OILT,2050,2.52,Million usd
XY,PHOT,2050,545.81,Million usd
XY,RTPV,2050,5.3,Million usd
XY,SubC,2050,715.99,Million usd
XY,WSTT,2050,10.03,Million usd
XY,WTON,2050,436.98,Million usd
YZ,BIOT,2050,4.44,Million usd
YZ,CCGT,2050,439.0,Million usd
YZ,HROR,2050,340.58,Million usd
YZ,OCGT,2050,90.41,Million usd
YZ,OILT,2050,4.0,Million usd
YZ,PHOT,2050,524.34,Million usd
YZ,RTPV,2050,5.07,Million usd
YZ,SubC,2050,1071.85,Million usd
YZ,SupC,2050,1291.2,Million usd
YZ,WTON,2050,443.41,Million usd
