country,technology,year,value,unit
XY,PHOT,2030,4378.64,Million usd
XY,WTON,2030,4658.82,Million usd
YZ,HROR,2030,18020.0,Million usd
YZ,PHOT,2030,2135.17,Million usd
YZ,WTON,2030,20936.84,Million usd
XY,PHOT,2035,84.23,Million usd
XY,WTON,2035,531.29,Million usd
YZ,PHOT,2035,229.0,Million usd
YZ,WTON,2035,3397.32,Million usd
XY,CSP,2040,453.9,Million usd
XY,PHOT,2040,1865.89,Million usd
XY,WTON,2040,1567.96,Million usd
YZ,PHOT,2040,728.02,Million usd
YZ,WTON,2040,3469.79,Million usd
XY,PHOT,2045,5237.71,Million usd
XY,WTON,2045,3551.9,Million usd
YZ,PHOT,2045,1926.03,Million usd
XY,OCHT,2050,1893.48,Million usd
XY,PHOT,2050,18823.78,Million usd
XY,WTON,2050,2892.93,Million usd
YZ,PHOT,2050,325.51,Million usd
YZ,WTON,2050,830.09,Million usd
