country,technology,year,value,unit
XY,EVCH-PRV,2025,0.02,Million usd
XY,EVCH-PUB,2025,0.02,Million usd
YZ,EVCH-PRV,2025,0.03,Million usd
YZ,EVCH-PUB,2025,0.02,Million usd
XY,EVCH-PRV,2030,0.05,Million usd
XY,EVCH-PUB,2030,0.03,Million usd
YZ,EVCH-PRV,2030,0.07,Million usd
YZ,EVCH-PUB,2030,0.04,Million usd
XY,EVCH-PRV,2035,0.05,Million usd
XY,EVCH-PUB,2035,0.03,Million usd
YZ,EVCH-PRV,2035,0.07,Million usd
YZ,EVCH-PUB,2035,0.04,Million usd
XY,EVCH-PRV,2040,0.05,Million usd
XY,EVCH-PUB,2040,0.03,Million usd
YZ,EVCH-PRV,2040,0.07,Million usd
YZ,EVCH-PUB,2040,0.04,Million usd
XY,EVCH-PRV,2045,0.05,Million usd
XY,EVCH-PUB,2045,0.03,Million usd
YZ,EVCH-PRV,2045,0.07,Million usd
YZ,EVCH-PUB,2045,0.04,Million usd
XY,EVCH-PRV,2050,0.02,Million usd
XY,EVCH-PUB,2050,0.02,Million usd
YZ,EVCH-PRV,2050,0.03,Million usd
YZ,EVCH-PUB,2050,0.02,Million usd
