country,region,value,year,unit
XY,CE,16.842105263157897,2025,GW
XY,NR,20.0,2025,GW
XY,SO,15.789473684210527,2025,GW
YZ,CE,16.842105263157897,2025,GW
YZ,NR,20.0,2025,GW
YZ,SO,15.789473684210527,2025,GW
XY,CE,16.842105263157897,2030,GW
XY,NR,20.0,2030,GW
XY,SO,15.789473684210527,2030,GW
YZ,CE,16.842105263157897,2030,GW
YZ,NR,20.0,2030,GW
YZ,SO,15.789473684210527,2030,GW
XY,CE,33.68421052633789,2035,GW
XY,NR,40.00000000003,2035,GW
XY,SO,31.578947368450528,2035,GW
YZ,CE,33.68421052633789,2035,GW
YZ,NR,40.00000000003,2035,GW
YZ,SO,31.578947368450528,2035,GW
XY,CE,33.68421052633789,2040,GW
XY,NR,40.00000000003,2040,GW
XY,SO,31.578947368450528,2040,GW
YZ,CE,33.68421052633789,2040,GW
YZ,NR,40.00000000003,2040,GW
YZ,SO,31.578947368450528,2040,GW
XY,CE,33.68421052633789,2045,GW
XY,NR,40.00000000003,2045,GW
XY,SO,31.578947368450528,2045,GW
YZ,CE,33.68421052633789,2045,GW
YZ,NR,40.00000000003,2045,GW
YZ,SO,31.578947368450528,2045,GW
XY,CE,16.84210526318,2050,GW
XY,NR,20.00000000003,2050,GW
XY,SO,15.78947368424,2050,GW
YZ,CE,16.84210526318,2050,GW
YZ,NR,20.00000000003,2050,GW
YZ,SO,15.78947368424,2050,GW
