country,region,value,year,unit
XY,CE,41.0,2025,GW
XY,NR,69.0,2025,GW
XY,SO,50.0,2025,GW
YZ,CE,41.0,2025,GW
YZ,NR,69.0,2025,GW
YZ,SO,50.0,2025,GW
XY,CE,82.0,2030,GW
XY,NR,138.0,2030,GW
XY,SO,100.0,2030,GW
YZ,CE,82.0,2030,GW
YZ,NR,138.0,2030,GW
YZ,SO,100.0,2030,GW
XY,CE,123.0,2035,GW
XY,NR,207.0,2035,GW
XY,SO,150.0,2035,GW
YZ,CE,123.0,2035,GW
YZ,NR,207.0,2035,GW
YZ,SO,150.0,2035,GW
XY,CE,123.0,2040,GW
XY,NR,207.0,2040,GW
XY,SO,150.0,2040,GW
YZ,CE,123.0,2040,GW
YZ,NR,207.0,2040,GW
YZ,SO,150.0,2040,GW
XY,CE,123.0,2045,GW
XY,NR,207.0,2045,GW
XY,SO,150.0,2045,GW
YZ,CE,123.0,2045,GW
YZ,NR,207.0,2045,GW
YZ,SO,150.0,2045,GW
XY,CE,123.0,2050,GW
XY,NR,207.0,2050,GW
XY,SO,150.0,2050,GW
YZ,CE,123.0,2050,GW
YZ,NR,207.0,2050,GW
YZ,SO,150.0,2050,GW
