country,type,value,year,unit
XY,PRV,120.0,2025,GW
XY,PUB,40.0,2025,GW
YZ,PRV,120.0,2025,GW
YZ,PUB,40.0,2025,GW
XY,PRV,240.0,2030,GW
XY,PUB,80.0,2030,GW
YZ,PRV,240.0,2030,GW
YZ,PUB,80.0,2030,GW
XY,PRV,360.0,2035,GW
XY,PUB,120.0,2035,GW
YZ,PRV,360.0,2035,GW
YZ,PUB,120.0,2035,GW
XY,PRV,360.0,2040,GW
XY,PUB,120.0,2040,GW
YZ,PRV,360.0,2040,GW
YZ,PUB,120.0,2040,GW
XY,PRV,360.0,2045,GW
XY,PUB,120.0,2045,GW
YZ,PRV,360.0,2045,GW
YZ,PUB,120.0,2045,GW
XY,PRV,360.0,2050,GW
XY,PUB,120.0,2050,GW
YZ,PRV,360.0,2050,GW
YZ,PUB,120.0,2050,GW
