country,technology,carrier,heat_type,year,value,unit
XY,EDLH,Electricity,IND-LH,2025,0.0429,TWh
XY,EIDT,Electricity,IND-HH,2025,5.5297,TWh
XY,IND_BOILER,Bio,IND-HH,2025,20.68,TWh
XY,IND_BOILER,Bio,IND-LH,2025,51.04,TWh
XY,IND_BOILER,Gas,IND-HH,2025,9.8024,TWh
XY,IND_BOILER,Gas,IND-LH,2025,24.5593,TWh
XY,IND_BOILER,Hrdc,IND-HH,2025,41.6643,TWh
XY,IND_BOILER,Hrdc,IND-LH,2025,9.8427,TWh
XY,IND_BOILER,Oil,IND-HH,2025,0.0603,TWh
XY,IND_BOILER,Oil,IND-LH,2025,12.5397,TWh
YZ,EIDT,Electricity,IND-HH,2025,5.5287,TWh
YZ,IND_BOILER,Bio,IND-HH,2025,20.68,TWh
YZ,IND_BOILER,Bio,IND-LH,2025,51.04,TWh
YZ,IND_BOILER,Gas,IND-HH,2025,1.3089,TWh
YZ,IND_BOILER,Gas,IND-LH,2025,2.2911,TWh
YZ,IND_BOILER,Hrdc,IND-HH,2025,41.6653,TWh
YZ,IND_BOILER,Hrdc,IND-LH,2025,9.8427,TWh
YZ,IND_BOILER,Oil,IND-HH,2025,3.5303,TWh
YZ,IND_BOILER,Oil,IND-LH,2025,9.0697,TWh
