flow,snapshot,value,unit
XY_CE_to_XY_NR,2030-01-01 00:00:00,-1548.77499999807,MW
XY_CE_to_XY_NR,2030-01-02 01:00:00,-1639.4802631559635,MW
XY_CE_to_XY_NR,2030-01-03 02:00:00,-1654.4749999980452,MW
XY_CE_to_XY_NR,2030-01-04 03:00:00,-1597.7749999980429,MW
XY_CE_to_XY_NR,2030-01-05 04:00:00,-1604.4249999980434,MW
XY_CE_to_XY_NR,2030-01-06 05:00:00,-1605.3749999980441,MW
XY_CE_to_XY_NR,2030-01-07 06:00:00,-1456.580263155964,MW
XY_CE_to_XY_NR,2030-01-08 07:00:00,-1322.6749999980548,MW
XY_CE_to_XY_NR,2030-01-09 08:00:00,-1346.4749999980554,MW
XY_CE_to_XY_NR,2030-01-10 09:00:00,-1328.5749999980558,MW
XY_CE_to_XY_NR,2030-01-11 10:00:00,-1042.7477272710555,MW
XY_CE_to_XY_NR,2030-01-12 11:00:00,-1096.247727271056,MW
XY_CE_to_XY_NR,2030-01-13 12:00:00,-996.3477272710572,MW
XY_CE_to_XY_NR,2030-01-14 13:00:00,-1173.9477272710556,MW
XY_CE_to_XY_NR,2030-01-15 14:00:00,-1612.9749999980577,MW
XY_CE_to_XY_NR,2030-01-16 15:00:00,-1615.7749999980585,MW
XY_CE_to_XY_NR,2030-01-17 16:00:00,-1324.4749999980604,MW
XY_CE_to_XY_NR,2030-01-18 17:00:00,-1115.874999998062,MW
XY_CE_to_XY_NR,2030-01-19 18:00:00,-920.9749999980661,MW
XY_CE_to_XY_NR,2030-01-20 19:00:00,-1126.9999999980323,MW
XY_CE_to_XY_NR,2030-01-21 20:00:00,-1188.674999998058,MW
XY_CE_to_XY_NR,2030-01-22 21:00:00,-1262.7749999980529,MW
XY_CE_to_XY_NR,2030-01-23 22:00:00,-1354.5749999980515,MW
XY_CE_to_XY_NR,2030-01-24 23:00:00,-1393.8749999980496,MW
XY_CE_to_XY_NR,2030-01-26 00:00:00,-1559.7499999980487,MW
XY_CE_to_XY_NR,2030-01-27 01:00:00,-1580.7999999980486,MW
XY_CE_to_XY_NR,2030-01-28 02:00:00,-1694.9802631559585,MW
XY_CE_to_XY_NR,2030-01-29 03:00:00,-1673.4249999980432,MW
XY_CE_to_XY_NR,2030-01-30 04:00:00,-1659.624999998043,MW
XY_CE_to_XY_NR,2030-01-31 05:00:00,-1618.1499999980447,MW
