country,carrier,value,year,unit
XY,Solar,14787272.283105321,2035,TWh
XY,Wind,10021191.996817077,2035,TWh
YZ,Solar,9067011.745516887,2035,TWh
YZ,Water,63762750.0,2035,TWh
YZ,Wind,69146519.88894819,2035,TWh
XY,Bio,133847734.7001122,2035,TWh
XY,Gas,6000000.000000001,2035,TWh
XY,Gas-imp,23462937.490752947,2035,TWh
XY,Hrdc,83421292.85488223,2035,TWh
XY,Lig,60342857.14283201,2035,TWh
XY,Oil,13985986.111085914,2035,TWh
XY,Uranium,29213333.333351195,2035,TWh
XY,Waste,391067.17859019665,2035,TWh
YZ,Bio,79541300.52603884,2035,TWh
YZ,Gas,6000000.0,2035,TWh
YZ,Hrdc,143733802.93879914,2035,TWh
YZ,Lig,43416675.161160685,2035,TWh
YZ,Oil,16000000.000000035,2035,TWh
