snapshot,country,technology,value,unit
2040-01-01 00:00:00,XY,IND_BOILER,10758.0,MW
2040-01-02 01:00:00,XY,IND_BOILER,10454.1,MW
2040-01-03 02:00:00,XY,IND_BOILER,10101.9,MW
2040-01-04 03:00:00,XY,IND_BOILER,10225.7,MW
2040-01-05 04:00:00,XY,IND_BOILER,9643.7,MW
2040-01-06 05:00:00,XY,IND_BOILER,9846.3,MW
2040-01-07 06:00:00,XY,IND_BOILER,11064.8,MW
2040-01-08 07:00:00,XY,IND_BOILER,11684.1,MW
2040-01-09 08:00:00,XY,IND_BOILER,11234.7,MW
2040-01-10 09:00:00,XY,IND_BOILER,10449.5,MW
2040-01-11 10:00:00,XY,IND_BOILER,7939.9,MW
2040-01-12 11:00:00,XY,IND_BOILER,6784.2,MW
2040-01-13 12:00:00,XY,IND_BOILER,6861.2,MW
2040-01-14 13:00:00,XY,IND_BOILER,8203.2,MW
2040-01-15 14:00:00,XY,IND_BOILER,9316.3,MW
2040-01-16 15:00:00,XY,IND_BOILER,10308.8,MW
2040-01-17 16:00:00,XY,IND_BOILER,10176.6,MW
2040-01-18 17:00:00,XY,IND_BOILER,8940.0,MW
2040-01-19 18:00:00,XY,IND_BOILER,10603.3,MW
2040-01-20 19:00:00,XY,IND_BOILER,12672.4,MW
2040-01-21 20:00:00,XY,IND_BOILER,12728.0,MW
2040-01-22 21:00:00,XY,IND_BOILER,12839.2,MW
2040-01-23 22:00:00,XY,IND_BOILER,12811.4,MW
2040-01-24 23:00:00,XY,IND_BOILER,11463.6,MW
2040-01-26 00:00:00,XY,IND_BOILER,9542.4,MW
2040-01-27 01:00:00,XY,IND_BOILER,8934.6,MW
2040-01-28 02:00:00,XY,IND_BOILER,9035.9,MW
2040-01-29 03:00:00,XY,IND_BOILER,9238.5,MW
2040-01-30 04:00:00,XY,IND_BOILER,9643.7,MW
2040-01-31 05:00:00,XY,IND_BOILER,9542.4,MW
2040-02-01 06:00:00,XY,IND_BOILER,9441.1,MW
2040-02-02 07:00:00,XY,IND_BOILER,10150.2,MW
2040-02-03 08:00:00,XY,IND_BOILER,11124.9,MW
2040-02-04 09:00:00,XY,IND_BOILER,10943.2,MW
2040-02-05 10:00:00,XY,IND_BOILER,10006.8,MW
2040-02-06 11:00:00,XY,IND_BOILER,8810.4,MW
2040-02-07 12:00:00,XY,IND_BOILER,7856.6,MW
2040-02-08 13:00:00,XY,IND_BOILER,5891.8,MW
2040-02-09 14:00:00,XY,IND_BOILER,6210.2,MW
2040-02-10 15:00:00,XY,IND_BOILER,8906.6,MW
2040-02-11 16:00:00,XY,IND_BOILER,9932.6,MW
2040-02-12 17:00:00,XY,IND_BOILER,11441.6,MW
2040-02-13 18:00:00,XY,IND_BOILER,12839.2,MW
2040-02-14 19:00:00,XY,IND_BOILER,12577.1,MW
2040-02-15 20:00:00,XY,IND_BOILER,10018.6,MW
2040-02-16 21:00:00,XY,IND_BOILER,10150.2,MW
2040-02-17 22:00:00,XY,IND_BOILER,12074.9,MW
2040-02-18 23:00:00,XY,IND_BOILER,11771.0,MW
2040-02-20 00:00:00,XY,IND_BOILER,10859.3,MW
2040-02-21 01:00:00,XY,IND_BOILER,9643.7,MW
2040-02-22 02:00:00,XY,IND_BOILER,8732.0,MW
2040-02-23 03:00:00,XY,IND_BOILER,8124.2,MW
2040-02-24 04:00:00,XY,IND_BOILER,8428.1,MW
2040-02-25 05:00:00,XY,IND_BOILER,9441.1,MW
2040-02-26 06:00:00,XY,IND_BOILER,10555.4,MW
2040-02-27 07:00:00,XY,IND_BOILER,11431.4,MW
2040-02-28 08:00:00,XY,IND_BOILER,11170.1,MW
2040-02-29 09:00:00,XY,IND_BOILER,8274.1,MW
2040-03-01 10:00:00,XY,IND_BOILER,7573.5,MW
2040-03-02 11:00:00,XY,IND_BOILER,8587.6,MW
2040-03-03 12:00:00,XY,IND_BOILER,8009.9,MW
2040-03-04 13:00:00,XY,IND_BOILER,8582.3,MW
2040-03-05 14:00:00,XY,IND_BOILER,8514.3,MW
2040-03-06 15:00:00,XY,IND_BOILER,8620.6,MW
2040-03-07 16:00:00,XY,IND_BOILER,7644.7,MW
2040-03-08 17:00:00,XY,IND_BOILER,8857.0,MW
2040-03-09 18:00:00,XY,IND_BOILER,12126.5,MW
2040-03-10 19:00:00,XY,IND_BOILER,12700.2,MW
2040-03-11 20:00:00,XY,IND_BOILER,12811.4,MW
2040-03-12 21:00:00,XY,IND_BOILER,12783.6,MW
2040-03-13 22:00:00,XY,IND_BOILER,12616.8,MW
2040-03-14 23:00:00,XY,IND_BOILER,9745.0,MW
2040-03-16 00:00:00,XY,IND_BOILER,9542.4,MW
2040-03-17 01:00:00,XY,IND_BOILER,9339.8,MW
2040-03-18 02:00:00,XY,IND_BOILER,9683.7,MW
2040-03-19 03:00:00,XY,IND_BOILER,9662.4,MW
2040-03-20 04:00:00,XY,IND_BOILER,8934.6,MW
2040-03-21 05:00:00,XY,IND_BOILER,8529.4,MW
2040-03-22 06:00:00,XY,IND_BOILER,9339.8,MW
2040-03-23 07:00:00,XY,IND_BOILER,10556.5,MW
2040-03-24 08:00:00,XY,IND_BOILER,10946.7,MW
2040-03-25 09:00:00,XY,IND_BOILER,11096.5,MW
2040-03-26 10:00:00,XY,IND_BOILER,10768.3,MW
2040-03-27 11:00:00,XY,IND_BOILER,9289.0,MW
2040-03-28 12:00:00,XY,IND_BOILER,5887.1,MW
2040-03-29 13:00:00,XY,IND_BOILER,6093.6,MW
2040-03-30 14:00:00,XY,IND_BOILER,8538.1,MW
2040-03-31 15:00:00,XY,IND_BOILER,9669.4,MW
