country,technology,carrier,year,value,unit
XY,BIOT,Bio,2045,265.58,Million usd
YZ,BIOT,Bio,2045,5.23,Million usd
XY,CCGT,Gas,2045,354.43,Million usd
YZ,CCGT,Gas,2045,575.08,Million usd
XY,CSP,Solar,2045,36.42,Million usd
XY,EDLH,Electricity,2045,104.84,Million usd
YZ,EDLH,Electricity,2045,170.96,Million usd
YZ,EERH,Electricity,2045,227.65,Million usd
XY,EHPP,Electricity,2045,55.51,Million usd
YZ,EHPP,Electricity,2045,336.68,Million usd
XY,EIDT,Electricity,2045,228.83,Million usd
YZ,EIDT,Electricity,2045,339.95,Million usd
XY,ELTZ,Hyd,2045,168.1,Million usd
XY,EVCH-PRV,Electricity,2045,0.05,Million usd
YZ,EVCH-PRV,Electricity,2045,0.07,Million usd
XY,EVCH-PUB,Electricity,2045,0.03,Million usd
YZ,EVCH-PUB,Electricity,2045,0.05,Million usd
XY,HDAM,Water,2045,287.58,Million usd
YZ,HROR,Water,2045,1817.48,Million usd
XY,HYD,Hyd,2045,75.59,Million usd
XY,IND_BOILER,Bio,2045,127.22,Million usd
YZ,IND_BOILER,Bio,2045,197.53,Million usd
XY,IND_BOILER,Gas,2045,154.53,Million usd
YZ,IND_BOILER,Gas,2045,223.95,Million usd
XY,IND_BOILER,Hrdc,2045,71.49,Million usd
YZ,IND_BOILER,Hrdc,2045,131.12,Million usd
XY,IND_BOILER,Hyd,2045,42.89,Million usd
XY,IND_BOILER,Oil,2045,0.78,Million usd
YZ,IND_BOILER,Oil,2045,152.69,Million usd
XY,ITCN,Electricity,2045,17.16,Million usd
YZ,ITCN,Electricity,2045,34.42,Million usd
XY,NUCL,Uranium,2045,754.85,Million usd
YZ,OCGT,Gas,2045,435.38,Million usd
XY,OILT,Oil,2045,17.88,Million usd
YZ,OILT,Oil,2045,17.75,Million usd
XY,PHOT,Solar,2045,869.51,Million usd
YZ,PHOT,Solar,2045,602.11,Million usd
XY,RTPV,Solar,2045,27.98,Million usd
YZ,RTPV,Solar,2045,47.58,Million usd
XY,SWHT,Solar,2045,315.12,Million usd
XY,SubC,Hrdc,2045,254.35,Million usd
YZ,SubC,Hrdc,2045,760.38,Million usd
XY,SubC,Lig,2045,179.54,Million usd
YZ,SubC,Lig,2045,297.02,Million usd
YZ,SupC,Hrdc,2045,1002.45,Million usd
XY,WSTT,Waste,2045,7.92,Million usd
XY,WTON,Wind,2045,681.08,Million usd
YZ,WTON,Wind,2045,3175.37,Million usd
