country,carrier,region,heat_type,year,value,unit
XY,Bio,CE,IND-HH,2045,12.8,TWh
XY,Bio,CE,IND-LH,2045,32.45,TWh
XY,Bio,SO,IND-HH,2045,1.3,TWh
XY,Bio,SO,IND-LH,2045,18.48,TWh
XY,Electricity,CE,IND-HH,2045,60.38,TWh
XY,Electricity,CE,IND-LH,2045,2.03,TWh
XY,Electricity,NR,IND-HH,2045,6.47,TWh
XY,Electricity,NR,IND-LH,2045,2.55,TWh
XY,Electricity,SO,IND-HH,2045,3.92,TWh
XY,Electricity,SO,IND-LH,2045,0.61,TWh
XY,Gas,CE,IND-LH,2045,7.31,TWh
XY,Gas,NR,IND-LH,2045,4.48,TWh
XY,Gas,SO,IND-LH,2045,0.05,TWh
XY,Hrdc,CE,IND-HH,2045,0.13,TWh
XY,Hrdc,NR,IND-HH,2045,0.06,TWh
XY,Hrdc,SO,IND-LH,2045,7.98,TWh
XY,Hyd,CE,IND-LH,2045,14.55,TWh
XY,Hyd,NR,IND-LH,2045,4.49,TWh
XY,Solar,CE,IND-LH,2045,4.92,TWh
XY,Solar,NR,IND-LH,2045,1.13,TWh
YZ,Bio,CE,IND-HH,2045,10.55,TWh
YZ,Bio,CE,IND-LH,2045,31.89,TWh
YZ,Bio,SO,IND-HH,2045,2.72,TWh
YZ,Bio,SO,IND-LH,2045,18.48,TWh
YZ,Electricity,CE,IND-HH,2045,60.53,TWh
YZ,Electricity,CE,IND-LH,2045,22.27,TWh
YZ,Electricity,NR,IND-HH,2045,6.16,TWh
YZ,Electricity,NR,IND-LH,2045,8.68,TWh
YZ,Electricity,SO,IND-HH,2045,2.11,TWh
YZ,Electricity,SO,IND-LH,2045,0.9,TWh
YZ,Gas,CE,IND-LH,2045,2.72,TWh
YZ,Gas,NR,IND-LH,2045,2.71,TWh
YZ,Gas,SO,IND-LH,2045,0.01,TWh
YZ,Hrdc,CE,IND-HH,2045,2.24,TWh
YZ,Hrdc,NR,IND-HH,2045,0.37,TWh
YZ,Hrdc,SO,IND-HH,2045,0.39,TWh
YZ,Hrdc,SO,IND-LH,2045,7.68,TWh
YZ,Oil,CE,IND-LH,2045,4.39,TWh
YZ,Oil,NR,IND-LH,2045,1.27,TWh
YZ,Oil,SO,IND-LH,2045,0.04,TWh
