country,technology,carrier,year,value,unit
XY,BIOT,Bio,2050,161.02,Million usd
YZ,BIOT,Bio,2050,2.6,Million usd
XY,BIO_SUPPLY,Bio,2050,1314.52,Million usd
YZ,BIO_SUPPLY,Bio,2050,498.48,Million usd
XY,CCGT,Gas,2050,145.42,Million usd
YZ,CCGT,Gas,2050,163.27,Million usd
XY,CSP,Solar,2050,8.52,Million usd
XY,EDLH,Electricity,2050,64.8,Million usd
YZ,EDLH,Electricity,2050,64.81,Million usd
YZ,EERH,Electricity,2050,88.82,Million usd
XY,EHPP,Electricity,2050,42.43,Million usd
YZ,EHPP,Electricity,2050,122.35,Million usd
XY,EIDT,Electricity,2050,166.88,Million usd
YZ,EIDT,Electricity,2050,146.15,Million usd
XY,ELTZ,Hyd,2050,327.08,Million usd
XY,EVCH-PRV,Electricity,2050,0.14,Million usd
YZ,EVCH-PRV,Electricity,2050,0.14,Million usd
XY,EVCH-PUB,Electricity,2050,0.09,Million usd
YZ,EVCH-PUB,Electricity,2050,0.09,Million usd
XY,GAS_SUPPLY,Gas,2050,137.14,Million usd
YZ,GAS_SUPPLY,Gas,2050,450.0,Million usd
XY,HDAM,Water,2050,100.0,Million usd
XY,HRDC_SUPPLY,Hrdc,2050,368.86,Million usd
YZ,HRDC_SUPPLY,Hrdc,2050,1777.52,Million usd
YZ,HROR,Water,2050,340.58,Million usd
XY,HYD,Hyd,2050,7.21,Million usd
XY,IND_BOILER,Bio,2050,772.53,Million usd
YZ,IND_BOILER,Bio,2050,790.61,Million usd
XY,IND_BOILER,Gas,2050,509.81,Million usd
YZ,IND_BOILER,Gas,2050,485.85,Million usd
XY,IND_BOILER,Hrdc,2050,246.36,Million usd
YZ,IND_BOILER,Hrdc,2050,339.25,Million usd
XY,IND_BOILER,Hyd,2050,328.26,Million usd
XY,IND_BOILER,Oil,2050,2.5,Million usd
YZ,IND_BOILER,Oil,2050,395.57,Million usd
XY,LIG_SUPPLY,Lig,2050,177.41,Million usd
YZ,LIG_SUPPLY,Lig,2050,88.32,Million usd
XY,NUCL,Uranium,2050,280.57,Million usd
YZ,OCGT,Gas,2050,70.69,Million usd
XY,OCHT,Hyd,2050,142.14,Million usd
XY,OILT,Oil,2050,2.52,Million usd
YZ,OILT,Oil,2050,4.0,Million usd
YZ,OIL_SUPPLY,Oil,2050,723.4,Million usd
XY,PHOT,Solar,2050,545.81,Million usd
YZ,PHOT,Solar,2050,524.34,Million usd
XY,RTPV,Solar,2050,5.3,Million usd
YZ,RTPV,Solar,2050,5.07,Million usd
XY,SWHT,Solar,2050,58.96,Million usd
XY,SubC,Hrdc,2050,129.4,Million usd
YZ,SubC,Hrdc,2050,276.52,Million usd
XY,SubC,Lig,2050,91.76,Million usd
YZ,SubC,Lig,2050,121.88,Million usd
YZ,SupC,Hrdc,2050,278.16,Million usd
XY,URANIUM_SUPPLY,Uranium,2050,87.64,Million usd
XY,WASTE_SUPPLY,Waste,2050,7.28,Million usd
XY,WSTT,Waste,2050,2.75,Million usd
XY,WTON,Wind,2050,436.98,Million usd
YZ,WTON,Wind,2050,443.41,Million usd
