country,technology,year,value,unit
XY,BIOT,2050,799.55,Million usd
XY,CCGT,2050,145.46,Million usd
XY,CSP,2050,8.52,Million usd
XY,HDAM,2050,100.0,Million usd
XY,NUCL,2050,368.21,Million usd
XY,OCHT,2050,2271.16,Million usd
XY,OILT,2050,2.52,Million usd
XY,PHOT,2050,545.81,Million usd
XY,RTPV,2050,5.3,Million usd
XY,SubC,2050,715.99,Million usd
XY,WSTT,2050,10.03,Million usd
XY,WTON,2050,436.98,Million usd
YZ,BIOT,2050,4.44,Million usd
YZ,CCGT,2050,439.0,Million usd
YZ,HROR,2050,340.58,Million usd
YZ,OCGT,2050,90.41,Million usd
YZ,OILT,2050,4.0,Million usd
YZ,PHOT,2050,524.34,Million usd
YZ,RTPV,2050,5.07,Million usd
YZ,SubC,2050,1071.85,Million usd
YZ,SupC,2050,1291.2,Million usd
YZ,WTON,2050,443.41,Million usd
