country,carrier,year,value,unit
XY,Bio,2025,10.0,usd/MWh_th
XY,Gas,2025,48.0,usd/MWh_th
XY,Hrdc,2025,14.0,usd/MWh_th
XY,Lig,2025,3.0,usd/MWh_th
XY,Uranium,2025,3.0,usd/MWh_th
XY,Oil,2025,48.0,usd/MWh_th
XY,Waste,2025,28.0,usd/MWh_th
YZ,Bio,2025,7.0,usd/MWh_th
YZ,Gas,2025,89994.4,usd/MWh_th
YZ,Hrdc,2025,10.0,usd/MWh_th
YZ,Lig,2025,1.5,usd/MWh_th
YZ,Oil,2025,89994.32,usd/MWh_th
XY,Bio,2030,10.0,usd/MWh_th
XY,Gas,2030,50.0,usd/MWh_th
XY,Hrdc,2030,15.0,usd/MWh_th
XY,Hyd,2030,,usd/MWh_th
XY,Lig,2030,3.0,usd/MWh_th
XY,Lng,2030,,usd/MWh_th
XY,Uranium,2030,3.0,usd/MWh_th
XY,Oil,2030,46.0,usd/MWh_th
XY,Waste,2030,28.0,usd/MWh_th
YZ,Bio,2030,7.0,usd/MWh_th
YZ,Gas,2030,63.81,usd/MWh_th
YZ,Hrdc,2030,11.0,usd/MWh_th
YZ,Hyd,2030,,usd/MWh_th
YZ,Lig,2030,1.5,usd/MWh_th
YZ,Uranium,2030,,usd/MWh_th
YZ,Oil,2030,63.73,usd/MWh_th
XY,Bio,2035,10.0,usd/MWh_th
XY,Gas,2035,52.0,usd/MWh_th
XY,Hrdc,2035,15.0,usd/MWh_th
XY,Hyd,2035,52.59,usd/MWh_th
XY,Lig,2035,3.0,usd/MWh_th
XY,Lng,2035,,usd/MWh_th
XY,Uranium,2035,3.0,usd/MWh_th
XY,Oil,2035,48.0,usd/MWh_th
XY,Waste,2035,28.0,usd/MWh_th
YZ,Bio,2035,7.0,usd/MWh_th
YZ,Gas,2035,62.03,usd/MWh_th
YZ,Hrdc,2035,12.0,usd/MWh_th
YZ,Hyd,2035,,usd/MWh_th
YZ,Lig,2035,2.0,usd/MWh_th
YZ,Uranium,2035,,usd/MWh_th
YZ,Oil,2035,61.95,usd/MWh_th
XY,Bio,2040,10.0,usd/MWh_th
XY,Gas,2040,54.0,usd/MWh_th
XY,Hrdc,2040,15.0,usd/MWh_th
XY,Hyd,2040,54.0,usd/MWh_th
XY,Lig,2040,3.0,usd/MWh_th
XY,Lng,2040,,usd/MWh_th
XY,Uranium,2040,3.0,usd/MWh_th
XY,Oil,2040,,usd/MWh_th
XY,Waste,2040,28.0,usd/MWh_th
YZ,Bio,2040,7.0,usd/MWh_th
YZ,Gas,2040,52.39,usd/MWh_th
YZ,Hrdc,2040,13.0,usd/MWh_th
YZ,Hyd,2040,,usd/MWh_th
YZ,Lig,2040,2.0,usd/MWh_th
YZ,Uranium,2040,,usd/MWh_th
YZ,Oil,2040,52.31,usd/MWh_th
XY,Bio,2045,10.0,usd/MWh_th
XY,Gas,2045,56.0,usd/MWh_th
XY,Hrdc,2045,16.0,usd/MWh_th
XY,Hyd,2045,49.25,usd/MWh_th
XY,Lig,2045,3.0,usd/MWh_th
XY,Lng,2045,,usd/MWh_th
XY,Uranium,2045,3.0,usd/MWh_th
XY,Oil,2045,,usd/MWh_th
XY,Waste,2045,28.0,usd/MWh_th
YZ,Bio,2045,7.0,usd/MWh_th
YZ,Gas,2045,50.08,usd/MWh_th
YZ,Hrdc,2045,14.0,usd/MWh_th
YZ,Hyd,2045,,usd/MWh_th
YZ,Lig,2045,2.5,usd/MWh_th
YZ,Uranium,2045,,usd/MWh_th
YZ,Oil,2045,50.0,usd/MWh_th
XY,Bio,2050,10.0,usd/MWh_th
XY,Gas,2050,50.0,usd/MWh_th
XY,Hrdc,2050,16.0,usd/MWh_th
XY,Hyd,2050,43.17,usd/MWh_th
XY,Lig,2050,3.0,usd/MWh_th
XY,Lng,2050,,usd/MWh_th
XY,Uranium,2050,3.0,usd/MWh_th
XY,Oil,2050,,usd/MWh_th
XY,Waste,2050,28.0,usd/MWh_th
YZ,Bio,2050,7.0,usd/MWh_th
YZ,Gas,2050,51.47,usd/MWh_th
YZ,Hrdc,2050,15.0,usd/MWh_th
YZ,Hyd,2050,,usd/MWh_th
YZ,Lig,2050,2.5,usd/MWh_th
YZ,Uranium,2050,,usd/MWh_th
YZ,Oil,2050,51.0,usd/MWh_th
