country,sector,carrier,year,value,unit
XY,power,Gas,2025,2.3,MtCO2
XY,power,Hrdc,2025,18.88,MtCO2
XY,power,Lig,2025,21.72,MtCO2
XY,power,Waste,2025,0.45,MtCO2
XY,industry,Gas,2025,7.64,MtCO2
XY,industry,Hrdc,2025,20.03,MtCO2
XY,industry,Oil,2025,3.92,MtCO2
YZ,power,Hrdc,2025,41.9,MtCO2
YZ,power,Lig,2025,16.08,MtCO2
YZ,industry,Gas,2025,0.8,MtCO2
YZ,industry,Hrdc,2025,20.03,MtCO2
YZ,industry,Oil,2025,3.92,MtCO2
XY,power,Gas,2030,0.3,MtCO2
XY,power,Hrdc,2030,21.54,MtCO2
XY,power,Lig,2030,21.72,MtCO2
XY,power,Waste,2030,0.14,MtCO2
XY,industry,Gas,2030,5.53,MtCO2
XY,industry,Hrdc,2030,7.36,MtCO2
XY,industry,Oil,2030,3.92,MtCO2
YZ,power,Gas,2030,0.19,MtCO2
YZ,power,Hrdc,2030,42.31,MtCO2
YZ,power,Lig,2030,15.67,MtCO2
YZ,industry,Gas,2030,0.81,MtCO2
YZ,industry,Hrdc,2030,14.88,MtCO2
YZ,industry,Oil,2030,4.2,MtCO2
XY,power,Gas,2035,0.36,MtCO2
XY,power,Hrdc,2035,22.3,MtCO2
XY,power,Lig,2035,21.72,MtCO2
XY,power,Waste,2035,0.14,MtCO2
XY,industry,Gas,2035,5.53,MtCO2
XY,industry,Hrdc,2035,6.9,MtCO2
XY,industry,Oil,2035,3.92,MtCO2
YZ,power,Gas,2035,0.23,MtCO2
YZ,power,Hrdc,2035,42.35,MtCO2
YZ,power,Lig,2035,15.63,MtCO2
YZ,industry,Gas,2035,0.97,MtCO2
YZ,industry,Hrdc,2035,8.47,MtCO2
YZ,industry,Oil,2035,4.48,MtCO2
XY,power,Gas,2040,0.34,MtCO2
XY,power,Hrdc,2040,27.02,MtCO2
XY,power,Lig,2040,21.72,MtCO2
XY,power,Waste,2040,0.13,MtCO2
XY,industry,Gas,2040,5.08,MtCO2
XY,industry,Hrdc,2040,6.25,MtCO2
YZ,power,Gas,2040,0.23,MtCO2
YZ,power,Hrdc,2040,42.23,MtCO2
YZ,power,Lig,2040,15.75,MtCO2
YZ,industry,Gas,2040,1.37,MtCO2
YZ,industry,Hrdc,2040,6.92,MtCO2
YZ,industry,Oil,2040,5.04,MtCO2
XY,power,Gas,2045,0.56,MtCO2
XY,power,Hrdc,2045,21.82,MtCO2
XY,power,Lig,2045,21.72,MtCO2
XY,power,Waste,2045,0.09,MtCO2
XY,industry,Gas,2045,2.63,MtCO2
XY,industry,Hrdc,2045,3.17,MtCO2
YZ,power,Gas,2045,0.59,MtCO2
YZ,power,Hrdc,2045,41.4,MtCO2
YZ,power,Lig,2045,12.81,MtCO2
YZ,industry,Gas,2045,1.21,MtCO2
YZ,industry,Hrdc,2045,4.15,MtCO2
YZ,industry,Oil,2045,1.77,MtCO2
XY,power,Hrdc,2050,6.94,MtCO2
XY,power,Lig,2050,21.29,MtCO2
XY,power,Waste,2050,0.09,MtCO2
XY,industry,Gas,2050,0.55,MtCO2
XY,industry,Hrdc,2050,1.13,MtCO2
YZ,power,Gas,2050,1.15,MtCO2
YZ,power,Hrdc,2050,37.68,MtCO2
YZ,power,Lig,2050,12.72,MtCO2
YZ,industry,Gas,2050,0.85,MtCO2
YZ,industry,Hrdc,2050,4.18,MtCO2
YZ,industry,Oil,2050,3.97,MtCO2
