country,sector,year,carrier,value,unit
YZ,power,2025,HrdcLig,57.98,Million usd
YZ,industry,2025,,24.75,Million usd
YZ,power,2030,GasHrdcLig,58.17,Million usd
YZ,industry,2030,,19.89,Million usd
YZ,power,2035,GasHrdcLig,58.21,Million usd
YZ,industry,2035,,13.920000000000002,Million usd
YZ,power,2040,GasHrdcLig,58.209999999999994,Million usd
YZ,industry,2040,,13.33,Million usd
YZ,power,2045,GasHrdcLig,54.8,Million usd
YZ,industry,2045,,7.130000000000001,Million usd
YZ,power,2050,GasHrdcLig,51.55,Million usd
YZ,industry,2050,,9.0,Million usd
