country,type,year,value,unit
XY,import,2025,45.7,Dimensionless
XY,local,2025,363.73,Dimensionless
XY,ei_frac,2025,0.888,Dimensionless
XY,import,2030,24.14,Dimensionless
XY,local,2030,346.87,Dimensionless
XY,ei_frac,2030,0.935,Dimensionless
XY,import,2035,23.46,Dimensionless
XY,local,2035,352.02,Dimensionless
XY,ei_frac,2035,0.938,Dimensionless
XY,import,2040,19.07,Dimensionless
XY,local,2040,367.12,Dimensionless
XY,ei_frac,2040,0.951,Dimensionless
XY,import,2045,6.95,Dimensionless
XY,local,2045,369.41,Dimensionless
XY,ei_frac,2045,0.982,Dimensionless
XY,import,2050,0.0,Dimensionless
XY,local,2050,384.99,Dimensionless
XY,ei_frac,2050,1.0,Dimensionless
