country,carrier,year,value,unit
XY,Gas,2025,7.64,MtCO2
XY,Hrdc,2025,20.03,MtCO2
XY,Oil,2025,3.92,MtCO2
YZ,Gas,2025,0.8,MtCO2
YZ,Hrdc,2025,20.03,MtCO2
YZ,Oil,2025,3.92,MtCO2
XY,Gas,2030,5.53,MtCO2
XY,Hrdc,2030,7.36,MtCO2
XY,Oil,2030,3.92,MtCO2
YZ,Gas,2030,0.81,MtCO2
YZ,Hrdc,2030,14.88,MtCO2
YZ,Oil,2030,4.2,MtCO2
XY,Gas,2035,5.53,MtCO2
XY,Hrdc,2035,6.9,MtCO2
XY,Oil,2035,3.92,MtCO2
YZ,Gas,2035,0.97,MtCO2
YZ,Hrdc,2035,8.47,MtCO2
YZ,Oil,2035,4.48,MtCO2
XY,Gas,2040,5.08,MtCO2
XY,Hrdc,2040,6.25,MtCO2
YZ,Gas,2040,1.37,MtCO2
YZ,Hrdc,2040,6.92,MtCO2
YZ,Oil,2040,5.04,MtCO2
XY,Gas,2045,2.63,MtCO2
XY,Hrdc,2045,3.17,MtCO2
YZ,Gas,2045,1.21,MtCO2
YZ,Hrdc,2045,4.15,MtCO2
YZ,Oil,2045,1.77,MtCO2
XY,Gas,2050,0.55,MtCO2
XY,Hrdc,2050,1.13,MtCO2
YZ,Gas,2050,0.85,MtCO2
YZ,Hrdc,2050,4.18,MtCO2
YZ,Oil,2050,3.97,MtCO2
