country,technology,carrier,year,value,unit
XY,EDLH,Electricity,2025,72.13,Million usd
XY,EHPP,Electricity,2025,8.0,Million usd
XY,EIDT,Electricity,2025,143.42,Million usd
XY,IND_BOILER,Bio,2025,1634.71,Million usd
XY,IND_BOILER,Gas,2025,2475.79,Million usd
XY,IND_BOILER,Hrdc,2025,1453.26,Million usd
XY,IND_BOILER,Oil,2025,1062.6,Million usd
YZ,EDLH,Electricity,2025,64.78,Million usd
YZ,EERH,Electricity,2025,88.8,Million usd
YZ,EHPP,Electricity,2025,14.5,Million usd
YZ,EIDT,Electricity,2025,138230.21,Million usd
YZ,IND_BOILER,Bio,2025,1395.64,Million usd
YZ,IND_BOILER,Gas,2025,360462.0,Million usd
YZ,IND_BOILER,Hrdc,2025,1244.39,Million usd
YZ,IND_BOILER,Oil,2025,1260315.0,Million usd
YZ,LSLO,ENS,2025,3080457.0,Million usd
XY,EDLH,Electricity,2030,87.27,Million usd
XY,EHPP,Electricity,2030,100.24,Million usd
XY,EIDT,Electricity,2030,856.66,Million usd
XY,IND_BOILER,Bio,2030,1513.64,Million usd
XY,IND_BOILER,Gas,2030,2027.55,Million usd
XY,IND_BOILER,Hrdc,2030,771.87,Million usd
XY,IND_BOILER,Oil,2030,876.19,Million usd
YZ,EDLH,Electricity,2030,98.13,Million usd
YZ,EERH,Electricity,2030,91.93,Million usd
YZ,EHPP,Electricity,2030,1461.68,Million usd
YZ,EIDT,Electricity,2030,439.76,Million usd
YZ,IND_BOILER,Bio,2030,1395.39,Million usd
YZ,IND_BOILER,Gas,2030,744.69,Million usd
YZ,IND_BOILER,Hrdc,2030,1054.96,Million usd
YZ,IND_BOILER,Oil,2030,1356.18,Million usd
XY,EDLH,Electricity,2035,86.92,Million usd
XY,EHPP,Electricity,2035,159.38,Million usd
XY,EIDT,Electricity,2035,921.21,Million usd
XY,IND_BOILER,Bio,2035,1514.1,Million usd
XY,IND_BOILER,Gas,2035,2082.03,Million usd
XY,IND_BOILER,Hrdc,2035,687.9,Million usd
XY,IND_BOILER,Hyd,2035,30.78,Million usd
XY,IND_BOILER,Oil,2035,904.35,Million usd
YZ,EDLH,Electricity,2035,105.26,Million usd
YZ,EERH,Electricity,2035,91.43,Million usd
YZ,EHPP,Electricity,2035,1388.06,Million usd
YZ,EIDT,Electricity,2035,699.47,Million usd
YZ,IND_BOILER,Bio,2035,1389.56,Million usd
YZ,IND_BOILER,Gas,2035,789.31,Million usd
YZ,IND_BOILER,Hrdc,2035,726.16,Million usd
YZ,IND_BOILER,Oil,2035,1397.05,Million usd
XY,EDLH,Electricity,2040,85.29,Million usd
XY,EHPP,Electricity,2040,330.3,Million usd
XY,EIDT,Electricity,2040,965.3,Million usd
XY,IND_BOILER,Bio,2040,1498.2,Million usd
XY,IND_BOILER,Gas,2040,2002.41,Million usd
XY,IND_BOILER,Hrdc,2040,650.54,Million usd
XY,IND_BOILER,Hyd,2040,471.11,Million usd
XY,IND_BOILER,Oil,2040,2.5,Million usd
XY,SWHT,Solar,2040,58.96,Million usd
YZ,EDLH,Electricity,2040,98.14,Million usd
YZ,EERH,Electricity,2040,92.04,Million usd
YZ,EHPP,Electricity,2040,1082.04,Million usd
YZ,EIDT,Electricity,2040,741.22,Million usd
YZ,IND_BOILER,Bio,2040,1371.59,Million usd
YZ,IND_BOILER,Gas,2040,859.84,Million usd
YZ,IND_BOILER,Hrdc,2040,667.28,Million usd
YZ,IND_BOILER,Oil,2040,1358.9,Million usd
XY,EDLH,Electricity,2045,85.59,Million usd
XY,EHPP,Electricity,2045,197.6,Million usd
XY,EIDT,Electricity,2045,1207.19,Million usd
XY,IND_BOILER,Bio,2045,1520.34,Million usd
XY,IND_BOILER,Gas,2045,1302.6,Million usd
XY,IND_BOILER,Hrdc,2045,423.11,Million usd
XY,IND_BOILER,Hyd,2045,1277.68,Million usd
XY,IND_BOILER,Oil,2045,2.5,Million usd
XY,SWHT,Solar,2045,58.96,Million usd
YZ,EDLH,Electricity,2045,81.09,Million usd
YZ,EERH,Electricity,2045,94.0,Million usd
YZ,EHPP,Electricity,2045,1230.24,Million usd
YZ,EIDT,Electricity,2045,706.7,Million usd
YZ,IND_BOILER,Bio,2045,1284.27,Million usd
YZ,IND_BOILER,Gas,2045,798.45,Million usd
YZ,IND_BOILER,Hrdc,2045,504.9,Million usd
YZ,IND_BOILER,Oil,2045,667.59,Million usd
XY,EDLH,Electricity,2050,82.25,Million usd
XY,EHPP,Electricity,2050,391.05,Million usd
XY,EIDT,Electricity,2050,1207.76,Million usd
XY,IND_BOILER,Bio,2050,1448.52,Million usd
XY,IND_BOILER,Gas,2050,646.91,Million usd
XY,IND_BOILER,Hrdc,2050,297.8,Million usd
XY,IND_BOILER,Hyd,2050,1483.52,Million usd
XY,IND_BOILER,Oil,2050,2.5,Million usd
XY,SWHT,Solar,2050,58.96,Million usd
YZ,EDLH,Electricity,2050,75.89,Million usd
YZ,EERH,Electricity,2050,93.73,Million usd
YZ,EHPP,Electricity,2050,773.38,Million usd
YZ,EIDT,Electricity,2050,741.92,Million usd
YZ,IND_BOILER,Bio,2050,1287.24,Million usd
YZ,IND_BOILER,Gas,2050,705.06,Million usd
YZ,IND_BOILER,Hrdc,2050,518.58,Million usd
YZ,IND_BOILER,Oil,2050,1118.96,Million usd
