country,bus,bus0,year,value,unit
XY,XY_CE_BATSN,,2025,,Dimensionless
XY,XY_NR_BATSN,,2025,,Dimensionless
XY,XY_SO_BATSN,,2025,,Dimensionless
YZ,YZ_CE_BATSN,,2025,,Dimensionless
YZ,YZ_NR_BATSN,,2025,,Dimensionless
YZ,YZ_SO_BATSN,,2025,,Dimensionless
XY,XY_CE_BATSN,,2030,,Dimensionless
XY,XY_NR_BATSN,,2030,,Dimensionless
XY,XY_SO_BATSN,,2030,,Dimensionless
YZ,YZ_CE_BATSN,,2030,,Dimensionless
YZ,YZ_NR_BATSN,,2030,,Dimensionless
YZ,YZ_SO_BATSN,,2030,,Dimensionless
XY,XY_CE_BATSN,,2035,,Dimensionless
XY,XY_NR_BATSN,,2035,,Dimensionless
XY,XY_SO_BATSN,,2035,,Dimensionless
YZ,YZ_CE_BATSN,,2035,,Dimensionless
YZ,YZ_NR_BATSN,,2035,,Dimensionless
YZ,YZ_SO_BATSN,,2035,,Dimensionless
XY,XY_CE_BATSN,,2040,,Dimensionless
XY,XY_NR_BATSN,,2040,,Dimensionless
XY,XY_SO_BATSN,,2040,,Dimensionless
YZ,YZ_CE_BATSN,,2040,,Dimensionless
YZ,YZ_NR_BATSN,,2040,,Dimensionless
YZ,YZ_SO_BATSN,,2040,,Dimensionless
XY,XY_CE_BATSN,,2045,,Dimensionless
XY,XY_NR_BATSN,,2045,,Dimensionless
XY,XY_SO_BATSN,,2045,,Dimensionless
YZ,YZ_CE_BATSN,,2045,,Dimensionless
YZ,YZ_NR_BATSN,,2045,,Dimensionless
YZ,YZ_SO_BATSN,,2045,,Dimensionless
XY,XY_CE_BATSN,,2050,,Dimensionless
XY,XY_NR_BATSN,,2050,,Dimensionless
XY,XY_SO_BATSN,,2050,,Dimensionless
YZ,YZ_CE_BATSN,,2050,,Dimensionless
YZ,YZ_NR_BATSN,,2050,,Dimensionless
YZ,YZ_SO_BATSN,,2050,,Dimensionless
