country,technology,year,value,unit
XY,BIOT,2025,2.18,GW
XY,CCGT,2025,26.9,GW
XY,NUCL,2025,1.56,GW
XY,OILT,2025,0.32,GW
XY,SubC,2025,5.8,GW
XY,WSTT,2025,0.04,GW
YZ,BIOT,2025,0.02,GW
YZ,CCGT,2025,8.7,GW
YZ,OCGT,2025,7.6,GW
YZ,OILT,2025,0.4,GW
YZ,SubC,2025,8.9,GW
YZ,SupC,2025,6.3,GW
XY,PHOT,2025,2.25,GW
XY,RTPV,2025,0.39,GW
XY,WTON,2025,0.12,GW
YZ,PHOT,2025,1.29,GW
YZ,RTPV,2025,0.39,GW
YZ,WTON,2025,1.42,GW
XY,HDAM,2025,2.5,GW
XY,BIOT,2030,2.18,GW
XY,CCGT,2030,22.6,GW
XY,NUCL,2030,1.56,GW
XY,OILT,2030,0.32,GW
XY,SubC,2030,5.8,GW
XY,WSTT,2030,0.04,GW
YZ,BIOT,2030,0.02,GW
YZ,CCGT,2030,8.7,GW
YZ,OCGT,2030,7.6,GW
YZ,OILT,2030,0.4,GW
YZ,SubC,2030,8.9,GW
YZ,SupC,2030,6.3,GW
XY,PHOT,2030,8.99,GW
XY,RTPV,2030,0.39,GW
XY,WTON,2030,3.75,GW
YZ,HROR,2030,8.5,GW
YZ,PHOT,2030,4.85,GW
YZ,RTPV,2030,0.39,GW
YZ,WTON,2030,18.17,GW
XY,HDAM,2030,2.5,GW
XY,BIOT,2035,2.18,GW
XY,CCGT,2035,17.8,GW
XY,NUCL,2035,1.56,GW
XY,OILT,2035,0.32,GW
XY,SubC,2035,5.8,GW
XY,WSTT,2035,0.04,GW
YZ,BIOT,2035,0.02,GW
YZ,CCGT,2035,8.7,GW
YZ,OCGT,2035,7.6,GW
YZ,OILT,2035,0.4,GW
YZ,SubC,2035,8.9,GW
YZ,SupC,2035,6.3,GW
XY,PHOT,2035,9.12,GW
XY,RTPV,2035,0.39,GW
XY,WTON,2035,4.17,GW
YZ,HROR,2035,8.5,GW
YZ,PHOT,2035,5.26,GW
YZ,RTPV,2035,0.39,GW
YZ,WTON,2035,21.0,GW
XY,HDAM,2035,2.5,GW
XY,BIOT,2040,2.18,GW
XY,CCGT,2040,12.94,GW
XY,NUCL,2040,1.56,GW
XY,OILT,2040,0.32,GW
XY,SubC,2040,5.8,GW
XY,WSTT,2040,0.04,GW
YZ,BIOT,2040,0.02,GW
YZ,CCGT,2040,8.7,GW
YZ,OCGT,2040,7.6,GW
YZ,OILT,2040,0.4,GW
YZ,SubC,2040,8.9,GW
YZ,SupC,2040,6.3,GW
XY,CSP,2040,0.77,GW
XY,PHOT,2040,11.99,GW
XY,RTPV,2040,0.39,GW
XY,WTON,2040,5.39,GW
YZ,HROR,2040,8.5,GW
YZ,PHOT,2040,6.72,GW
YZ,RTPV,2040,0.39,GW
YZ,WTON,2040,24.02,GW
XY,HDAM,2040,2.5,GW
XY,BIOT,2045,2.18,GW
XY,CCGT,2045,6.61,GW
XY,NUCL,2045,1.56,GW
XY,OILT,2045,0.32,GW
XY,SubC,2045,5.8,GW
XY,WSTT,2045,0.04,GW
YZ,BIOT,2045,0.02,GW
YZ,CCGT,2045,8.7,GW
YZ,OCGT,2045,7.6,GW
YZ,OILT,2045,0.4,GW
YZ,SubC,2045,8.9,GW
YZ,SupC,2045,6.3,GW
XY,CSP,2045,0.77,GW
XY,PHOT,2045,21.51,GW
XY,RTPV,2045,0.39,GW
XY,WTON,2045,8.4,GW
YZ,HROR,2045,8.5,GW
YZ,PHOT,2045,49.52,GW
YZ,RTPV,2045,0.39,GW
YZ,WTON,2045,24.02,GW
XY,HDAM,2045,2.5,GW
XY,BIOT,2050,2.18,GW
XY,CCGT,2050,6.61,GW
XY,NUCL,2050,1.56,GW
XY,OCHT,2050,3.1,GW
XY,OILT,2050,0.32,GW
XY,SubC,2050,5.8,GW
XY,WSTT,2050,0.04,GW
YZ,BIOT,2050,0.02,GW
YZ,CCGT,2050,8.7,GW
YZ,OCGT,2050,7.6,GW
YZ,OILT,2050,0.4,GW
YZ,SubC,2050,8.9,GW
YZ,SupC,2050,6.3,GW
XY,CSP,2050,0.77,GW
XY,PHOT,2050,63.34,GW
XY,RTPV,2050,0.39,GW
XY,WTON,2050,11.08,GW
YZ,HROR,2050,8.5,GW
YZ,PHOT,2050,56.76,GW
YZ,RTPV,2050,0.39,GW
YZ,WTON,2050,24.76,GW
XY,HDAM,2050,2.5,GW
