country,carrier,year,value,unit
YZ,Hrdc,2025,41.9,Million usd
YZ,Lig,2025,16.08,Million usd
YZ,Gas,2030,0.19,Million usd
YZ,Hrdc,2030,42.31,Million usd
YZ,Lig,2030,15.67,Million usd
YZ,Gas,2035,0.23,Million usd
YZ,Hrdc,2035,42.35,Million usd
YZ,Lig,2035,15.63,Million usd
YZ,Gas,2040,0.23,Million usd
YZ,Hrdc,2040,42.23,Million usd
YZ,Lig,2040,15.75,Million usd
YZ,Gas,2045,0.59,Million usd
YZ,Hrdc,2045,41.4,Million usd
YZ,Lig,2045,12.81,Million usd
YZ,Gas,2050,1.15,Million usd
YZ,Hrdc,2050,37.68,Million usd
YZ,Lig,2050,12.72,Million usd
