country,technology,year,value,unit
XY,BIOT,2025,8256.880733944954,hours
XY,CCGT,2025,222.67657992565057,hours
XY,HDAM,2025,4.0,hours
XY,NUCL,2025,6179.48717948718,hours
XY,PHOT,2025,1457.7777777777778,hours
XY,RTPV,2025,1410.2564102564102,hours
XY,SubC,2025,6896.551724137931,hours
XY,WSTT,2025,10000.0,hours
XY,WTON,2025,1916.6666666666667,hours
YZ,BIOT,2025,8500.0,hours
YZ,PHOT,2025,1581.3953488372092,hours
YZ,RTPV,2025,102.56410256410255,hours
YZ,SubC,2025,3537.078651685393,hours
YZ,SupC,2025,3538.095238095238,hours
YZ,WTON,2025,3161.971830985916,hours
XY,BIOT,2030,8256.880733944954,hours
XY,CCGT,2030,34.070796460176986,hours
XY,HDAM,2030,4.0,hours
XY,NUCL,2030,6179.48717948718,hours
XY,PHOT,2030,1565.0723025583982,hours
XY,RTPV,2030,1282.051282051282,hours
XY,SubC,2030,7355.172413793103,hours
XY,WSTT,2030,3000.0,hours
XY,WTON,2030,2394.6666666666665,hours
YZ,BIOT,2030,8000.0,hours
YZ,CCGT,2030,62.06896551724139,hours
YZ,HROR,2030,7501.176470588235,hours
YZ,PHOT,2030,1694.8453608247423,hours
YZ,RTPV,2030,307.6923076923077,hours
YZ,SubC,2030,3537.078651685393,hours
YZ,SupC,2030,3538.095238095238,hours
YZ,WTON,2030,3323.610346725371,hours
XY,BIOT,2035,8532.11009174312,hours
XY,CCGT,2035,52.80898876404494,hours
XY,HDAM,2035,4.0,hours
XY,NUCL,2035,6179.48717948718,hours
XY,PHOT,2035,1565.7894736842106,hours
XY,RTPV,2035,1282.051282051282,hours
XY,SubC,2035,7486.206896551725,hours
XY,WSTT,2035,3250.0,hours
XY,WTON,2035,2402.877697841727,hours
YZ,BIOT,2035,8000.0,hours
YZ,CCGT,2035,77.01149425287358,hours
YZ,HROR,2035,7501.176470588235,hours
YZ,PHOT,2035,1701.5209125475285,hours
YZ,RTPV,2035,307.6923076923077,hours
YZ,SubC,2035,3537.078651685393,hours
YZ,SupC,2035,3538.095238095238,hours
YZ,WTON,2035,3292.8571428571427,hours
XY,BIOT,2040,8692.660550458715,hours
XY,CCGT,2040,68.00618238021639,hours
XY,CSP,2040,1714.2857142857142,hours
XY,HDAM,2040,4.0,hours
XY,NUCL,2040,6179.48717948718,hours
XY,PHOT,2040,1603.836530442035,hours
XY,RTPV,2040,1282.051282051282,hours
XY,SubC,2040,8300.0,hours
XY,WSTT,2040,3000.0,hours
XY,WTON,2040,2410.018552875696,hours
YZ,BIOT,2040,8000.0,hours
YZ,CCGT,2040,75.86206896551725,hours
YZ,HROR,2040,7501.176470588235,hours
YZ,PHOT,2040,1708.3333333333337,hours
YZ,RTPV,2040,307.6923076923077,hours
YZ,SubC,2040,3537.078651685393,hours
YZ,SupC,2040,3538.095238095238,hours
YZ,WTON,2040,3278.517901748543,hours
XY,BIOT,2045,8793.577981651375,hours
XY,CCGT,2045,219.3645990922844,hours
XY,CSP,2045,1714.2857142857142,hours
XY,HDAM,2045,4.0,hours
XY,NUCL,2045,6179.48717948718,hours
XY,PHOT,2045,1644.8163644816364,hours
XY,RTPV,2045,1256.4102564102564,hours
XY,SubC,2045,7403.448275862069,hours
XY,WSTT,2045,2000.0,hours
XY,WTON,2045,2353.5714285714284,hours
YZ,BIOT,2045,6000.0,hours
YZ,CCGT,2045,195.4022988505747,hours
YZ,HROR,2045,7501.176470588235,hours
YZ,OCGT,2045,1.3157894736842106,hours
YZ,PHOT,2045,1260.9046849757674,hours
YZ,RTPV,2045,256.4102564102564,hours
YZ,SubC,2045,3306.741573033708,hours
YZ,SupC,2045,3307.936507936508,hours
YZ,WTON,2045,2867.610324729392,hours
XY,BIOT,2050,8788.990825688074,hours
XY,CSP,2050,1506.4935064935064,hours
XY,HDAM,2050,4.0,hours
XY,NUCL,2050,6179.48717948718,hours
XY,OCHT,2050,6403.225806451613,hours
XY,PHOT,2050,1678.2443953268075,hours
XY,RTPV,2050,1128.2051282051282,hours
XY,SubC,2050,4765.517241379311,hours
XY,WSTT,2050,2000.0,hours
XY,WTON,2050,2270.758122743682,hours
YZ,BIOT,2050,6000.0,hours
YZ,CCGT,2050,357.4712643678161,hours
YZ,HROR,2050,7501.176470588235,hours
YZ,OCGT,2050,22.36842105263158,hours
YZ,PHOT,2050,1240.4862579281184,hours
YZ,RTPV,2050,128.2051282051282,hours
YZ,SubC,2050,2756.179775280899,hours
YZ,SupC,2050,3538.095238095238,hours
YZ,WTON,2050,2818.6591276252016,hours
