country,technology,year,value,unit
XY,BIOT,2025,103.55,Million usd
XY,CCGT,2025,591.8,Million usd
XY,HDAM,2025,100.0,Million usd
XY,NUCL,2025,203.45,Million usd
XY,OILT,2025,2.52,Million usd
XY,PHOT,2025,27.0,Million usd
XY,RTPV,2025,5.08,Million usd
XY,SubC,2025,220.4,Million usd
XY,WSTT,2025,2.25,Million usd
XY,WTON,2025,4.6,Million usd
YZ,BIOT,2025,2.22,Million usd
YZ,CCGT,2025,147.9,Million usd
YZ,OCGT,2025,69.92,Million usd
YZ,OILT,2025,4.0,Million usd
YZ,PHOT,2025,15.48,Million usd
YZ,RTPV,2025,5.07,Million usd
YZ,SubC,2025,347.1,Million usd
YZ,SupC,2025,252.0,Million usd
YZ,WTON,2025,21.3,Million usd
XY,BIOT,2030,103.55,Million usd
XY,CCGT,2030,497.2,Million usd
XY,HDAM,2030,100.0,Million usd
XY,NUCL,2030,203.45,Million usd
XY,OILT,2030,2.52,Million usd
XY,PHOT,2030,94.36,Million usd
XY,RTPV,2030,5.08,Million usd
XY,SubC,2030,220.4,Million usd
XY,WSTT,2030,2.25,Million usd
XY,WTON,2030,142.91,Million usd
YZ,BIOT,2030,2.22,Million usd
YZ,CCGT,2030,147.9,Million usd
YZ,HROR,2030,340.0,Million usd
YZ,OCGT,2030,69.92,Million usd
YZ,OILT,2030,4.0,Million usd
YZ,PHOT,2030,54.62,Million usd
YZ,RTPV,2030,5.07,Million usd
YZ,SubC,2030,347.1,Million usd
YZ,SupC,2030,252.0,Million usd
YZ,WTON,2030,255.79,Million usd
XY,BIOT,2035,103.55,Million usd
XY,CCGT,2035,391.6,Million usd
XY,HDAM,2035,100.0,Million usd
XY,NUCL,2035,203.45,Million usd
XY,OILT,2035,2.52,Million usd
XY,PHOT,2035,95.66,Million usd
XY,RTPV,2035,5.08,Million usd
XY,SubC,2035,220.4,Million usd
XY,WSTT,2035,2.25,Million usd
XY,WTON,2035,157.85,Million usd
YZ,BIOT,2035,2.22,Million usd
YZ,CCGT,2035,147.9,Million usd
YZ,HROR,2035,340.0,Million usd
YZ,OCGT,2035,69.92,Million usd
YZ,OILT,2035,4.0,Million usd
YZ,PHOT,2035,58.79,Million usd
YZ,RTPV,2035,5.07,Million usd
YZ,SubC,2035,347.1,Million usd
YZ,SupC,2035,252.0,Million usd
YZ,WTON,2035,295.43,Million usd
XY,BIOT,2040,103.55,Million usd
XY,CCGT,2040,284.68,Million usd
XY,CSP,2040,8.51,Million usd
XY,HDAM,2040,100.0,Million usd
XY,NUCL,2040,203.45,Million usd
XY,OILT,2040,2.52,Million usd
XY,PHOT,2040,124.37,Million usd
XY,RTPV,2040,5.08,Million usd
XY,SubC,2040,220.4,Million usd
XY,WSTT,2040,2.25,Million usd
XY,WTON,2040,201.95,Million usd
YZ,BIOT,2040,2.22,Million usd
YZ,CCGT,2040,147.9,Million usd
YZ,HROR,2040,340.0,Million usd
YZ,OCGT,2040,69.92,Million usd
YZ,OILT,2040,4.0,Million usd
YZ,PHOT,2040,73.35,Million usd
YZ,RTPV,2040,5.07,Million usd
YZ,SubC,2040,347.1,Million usd
YZ,SupC,2040,252.0,Million usd
YZ,WTON,2040,334.65,Million usd
XY,BIOT,2045,103.55,Million usd
XY,CCGT,2045,145.42,Million usd
XY,CSP,2045,8.51,Million usd
XY,HDAM,2045,100.0,Million usd
XY,NUCL,2045,203.45,Million usd
XY,OILT,2045,2.52,Million usd
XY,PHOT,2045,210.07,Million usd
XY,RTPV,2045,5.08,Million usd
XY,SubC,2045,220.4,Million usd
XY,WSTT,2045,2.25,Million usd
XY,WTON,2045,292.25,Million usd
YZ,BIOT,2045,2.22,Million usd
YZ,CCGT,2045,147.9,Million usd
YZ,HROR,2045,340.0,Million usd
YZ,OCGT,2045,69.92,Million usd
YZ,OILT,2045,4.0,Million usd
YZ,PHOT,2045,458.56,Million usd
YZ,RTPV,2045,5.07,Million usd
YZ,SubC,2045,347.1,Million usd
YZ,SupC,2045,252.0,Million usd
YZ,WTON,2045,334.65,Million usd
XY,BIOT,2050,103.55,Million usd
XY,CCGT,2050,145.42,Million usd
XY,CSP,2050,8.51,Million usd
XY,HDAM,2050,100.0,Million usd
XY,NUCL,2050,203.45,Million usd
XY,OCHT,2050,102.43,Million usd
XY,OILT,2050,2.52,Million usd
XY,PHOT,2050,544.72,Million usd
XY,RTPV,2050,5.08,Million usd
XY,SubC,2050,220.4,Million usd
XY,WSTT,2050,2.25,Million usd
XY,WTON,2050,367.25,Million usd
YZ,BIOT,2050,2.22,Million usd
YZ,CCGT,2050,147.9,Million usd
YZ,HROR,2050,340.0,Million usd
YZ,OCGT,2050,69.92,Million usd
YZ,OILT,2050,4.0,Million usd
YZ,PHOT,2050,523.66,Million usd
YZ,RTPV,2050,5.07,Million usd
YZ,SubC,2050,347.1,Million usd
YZ,SupC,2050,252.0,Million usd
YZ,WTON,2050,344.29,Million usd
