country,from,to,value,year,unit
XY,XY_CE,XY_NR,0.34,2025,Dimensionless
XY,XY_CE,XY_SO,0.99,2025,Dimensionless
YZ,YZ_CE,YZ_NR,0.97,2025,Dimensionless
YZ,YZ_CE,YZ_SO,1.0,2025,Dimensionless
XY,XY_CE,XY_NR,0.3,2030,Dimensionless
XY,XY_CE,XY_SO,0.75,2030,Dimensionless
YZ,YZ_CE,YZ_NR,0.71,2030,Dimensionless
YZ,YZ_CE,YZ_SO,0.88,2030,Dimensionless
XY,XY_CE,XY_NR,0.31,2035,Dimensionless
XY,XY_CE,XY_SO,0.74,2035,Dimensionless
YZ,YZ_CE,YZ_NR,0.73,2035,Dimensionless
YZ,YZ_CE,YZ_SO,0.88,2035,Dimensionless
XY,XY_CE,XY_NR,0.2,2040,Dimensionless
XY,XY_CE,XY_SO,0.73,2040,Dimensionless
YZ,YZ_CE,YZ_NR,0.77,2040,Dimensionless
YZ,YZ_CE,YZ_SO,0.9,2040,Dimensionless
XY,XY_CE,XY_NR,0.22,2045,Dimensionless
XY,XY_CE,XY_SO,0.79,2045,Dimensionless
YZ,YZ_CE,YZ_NR,0.81,2045,Dimensionless
YZ,YZ_CE,YZ_SO,0.92,2045,Dimensionless
XY,XY_CE,XY_NR,0.69,2050,Dimensionless
XY,XY_CE,XY_SO,0.79,2050,Dimensionless
YZ,YZ_CE,YZ_NR,0.79,2050,Dimensionless
YZ,YZ_CE,YZ_SO,0.92,2050,Dimensionless
