country,from,to,year,value,unit
XY,XY_CE,XY_NR,2025,4.2,GW
XY,XY_CE,XY_SO,2025,0.6,GW
YZ,YZ_CE,YZ_NR,2025,2.1,GW
YZ,YZ_CE,YZ_SO,2025,0.3,GW
XY,XY_CE,XY_NR,2030,4.2,GW
XY,XY_CE,XY_SO,2030,1.7,GW
YZ,YZ_CE,YZ_NR,2030,2.6,GW
YZ,YZ_CE,YZ_SO,2030,0.8,GW
XY,XY_CE,XY_NR,2035,4.2,GW
XY,XY_CE,XY_SO,2035,1.7,GW
YZ,YZ_CE,YZ_NR,2035,2.6,GW
YZ,YZ_CE,YZ_SO,2035,0.8,GW
XY,XY_CE,XY_NR,2040,4.2,GW
XY,XY_CE,XY_SO,2040,1.7,GW
YZ,YZ_CE,YZ_NR,2040,3.1,GW
YZ,YZ_CE,YZ_SO,2040,1.3,GW
XY,XY_CE,XY_NR,2045,4.2,GW
XY,XY_CE,XY_SO,2045,1.7,GW
YZ,YZ_CE,YZ_NR,2045,3.1,GW
YZ,YZ_CE,YZ_SO,2045,1.3,GW
XY,XY_CE,XY_NR,2050,4.2,GW
XY,XY_CE,XY_SO,2050,1.7,GW
YZ,YZ_CE,YZ_NR,2050,3.1,GW
YZ,YZ_CE,YZ_SO,2050,1.3,GW
