country,type,value,year,unit
XY,PRV,31.578947368421055,2025,GW
XY,PUB,21.05263157894737,2025,GW
YZ,PRV,31.578947368421055,2025,GW
YZ,PUB,21.05263157894737,2025,GW
XY,PRV,31.578947368421055,2030,GW
XY,PUB,21.05263157894737,2030,GW
YZ,PRV,31.578947368421055,2030,GW
YZ,PUB,21.05263157894737,2030,GW
XY,PRV,63.15789473692105,2035,GW
XY,PUB,42.10526315789737,2035,GW
YZ,PRV,63.15789473692105,2035,GW
YZ,PUB,42.10526315789737,2035,GW
XY,PRV,63.15789473692105,2040,GW
XY,PUB,42.10526315789737,2040,GW
YZ,PRV,63.15789473692105,2040,GW
YZ,PUB,42.10526315789737,2040,GW
XY,PRV,63.15789473692105,2045,GW
XY,PUB,42.10526315789737,2045,GW
YZ,PRV,63.15789473692105,2045,GW
YZ,PUB,42.10526315789737,2045,GW
XY,PRV,31.5789473685,2050,GW
XY,PUB,21.05263157895,2050,GW
YZ,PRV,31.5789473685,2050,GW
YZ,PUB,21.05263157895,2050,GW
